threshold,n_evaluated,TP,TN,FP,FN,sensitivity,specificity,LR_positive,LR_positive_lower_95,LR_positive_upper_95,LR_negative,LR_negative_lower_95,LR_negative_upper_95,qualifies_pathogenic_LR,qualifies_benign_LR
0,325,260,0,65,0,1,0,1,0.984,1.028,NA,0.005,12.627,FALSE,FALSE
0.05,325,260,0,65,0,1,0,1,0.984,1.028,NA,0.005,12.627,FALSE,FALSE
0.1,325,256,7,58,4,0.985,0.108,1.103,1.015,1.211,0.143,0.049,0.473,FALSE,TRUE
0.15000000000000002,325,249,17,48,11,0.958,0.262,1.297,1.123,1.507,0.162,0.083,0.332,FALSE,TRUE
0.2,325,243,21,44,17,0.935,0.323,1.381,1.166,1.641,0.202,0.116,0.364,FALSE,TRUE
0.25,325,236,25,40,24,0.908,0.385,1.475,1.215,1.795,0.24,0.15,0.394,FALSE,TRUE
0.30000000000000004,325,227,32,33,33,0.873,0.492,1.72,1.348,2.188,0.258,0.175,0.389,FALSE,TRUE
0.35000000000000003,325,224,35,30,36,0.862,0.538,1.867,1.428,2.426,0.257,0.179,0.378,FALSE,TRUE
0.4,325,218,39,26,42,0.838,0.6,2.096,1.546,2.813,0.269,0.194,0.382,FALSE,TRUE
0.45,325,211,41,24,49,0.812,0.631,2.198,1.586,3.005,0.299,0.221,0.412,FALSE,TRUE
0.5,325,202,42,23,58,0.777,0.646,2.196,1.565,3.034,0.345,0.261,0.464,FALSE,TRUE
0.55,325,197,47,18,63,0.758,0.723,2.736,1.823,3.998,0.335,0.26,0.439,FALSE,TRUE
0.6000000000000001,325,192,48,17,68,0.738,0.738,2.824,1.85,4.183,0.354,0.278,0.458,FALSE,TRUE
0.65,325,190,48,17,70,0.731,0.738,2.794,1.83,4.141,0.365,0.287,0.47,FALSE,TRUE
0.7000000000000001,325,184,49,16,76,0.708,0.754,2.875,1.848,4.326,0.388,0.309,0.494,FALSE,FALSE
0.75,325,178,52,13,82,0.685,0.8,3.423,2.063,5.419,0.394,0.32,0.493,FALSE,FALSE
0.8,325,168,53,12,92,0.646,0.815,3.5,2.053,5.66,0.434,0.358,0.535,FALSE,FALSE
0.8500000000000001,325,163,56,9,97,0.627,0.862,4.528,2.399,7.897,0.433,0.362,0.525,TRUE,FALSE
0.9,325,141,59,6,119,0.542,0.908,5.875,2.631,11.519,0.504,0.435,0.593,TRUE,FALSE
0.9500000000000001,325,109,62,3,151,0.419,0.954,9.083,2.826,22.148,0.609,0.545,0.69,TRUE,FALSE
1,325,0,65,0,260,0,1,NA,0.005,12.627,1,0.984,1.028,FALSE,FALSE
