threshold,threshold_full_precision,total_variants_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,balanced_accuracy,mcc
10.44,10.44,742,518,90,101,33,0.819,0.94,0.471,0.706,0.484
10.56,10.56,742,518,90,101,33,0.819,0.94,0.471,0.706,0.484
10.18,10.18,742,518,89,102,33,0.818,0.94,0.466,0.703,0.479
11.72,11.72,742,515,91,100,36,0.817,0.935,0.476,0.706,0.477
8.926,8.926,742,520,87,104,31,0.818,0.944,0.455,0.7,0.477
10.84,10.84,742,516,90,101,35,0.817,0.936,0.471,0.704,0.476
11.76,11.76,742,513,92,99,38,0.815,0.931,0.482,0.706,0.475
9.68,9.68,742,518,88,103,33,0.817,0.94,0.461,0.7,0.474
9.156,9.156,742,519,87,104,32,0.817,0.942,0.455,0.699,0.474
11.45,11.45,742,515,90,101,36,0.815,0.935,0.471,0.703,0.473
8.911,8.911,742,520,86,105,31,0.817,0.944,0.45,0.697,0.473
11.95,11.95,742,512,92,99,39,0.814,0.929,0.482,0.705,0.471
9.501,9.501,742,518,87,104,33,0.815,0.94,0.455,0.698,0.47
12.04,12.04,742,511,92,99,40,0.813,0.927,0.482,0.705,0.468
8.841,8.841,742,520,85,106,31,0.815,0.944,0.445,0.694,0.468
12.1,12.1,742,510,92,99,41,0.811,0.926,0.482,0.704,0.464
8.808,8.808,742,520,84,107,31,0.814,0.944,0.44,0.692,0.463
13.13,13.13,742,505,95,96,46,0.809,0.917,0.497,0.707,0.461
12.11,12.11,742,509,92,99,42,0.81,0.924,0.482,0.703,0.461
8.165,8.165,742,520,83,108,31,0.813,0.944,0.435,0.689,0.459
13.16,13.16,742,504,95,96,47,0.807,0.915,0.497,0.706,0.458
13.12,13.12,742,505,94,97,46,0.807,0.917,0.492,0.704,0.457
13.24,13.24,742,503,95,96,48,0.806,0.913,0.497,0.705,0.455
14.07,14.07,742,494,101,90,57,0.802,0.897,0.529,0.713,0.454
12.23,12.23,742,507,92,99,44,0.807,0.92,0.482,0.701,0.454
8.021,8.021,742,520,82,109,31,0.811,0.944,0.429,0.687,0.454
7.991,7.991,742,521,81,110,30,0.811,0.946,0.424,0.685,0.453
13.32,13.32,742,502,95,96,49,0.805,0.911,0.497,0.704,0.452
12.92,12.92,742,505,93,98,46,0.806,0.917,0.487,0.702,0.452
14.13,14.13,742,493,101,90,58,0.801,0.895,0.529,0.712,0.451
13.46,13.46,742,499,97,94,52,0.803,0.906,0.508,0.707,0.451
12.35,12.35,742,506,92,99,45,0.806,0.918,0.482,0.7,0.451
13.93,13.93,742,494,100,91,57,0.801,0.897,0.524,0.71,0.45
13.42,13.42,742,500,96,95,51,0.803,0.907,0.503,0.705,0.45
8.018,8.018,742,520,81,110,31,0.81,0.944,0.424,0.684,0.449
14.21,14.21,742,492,101,90,59,0.799,0.893,0.529,0.711,0.448
13.52,13.52,742,498,97,94,53,0.802,0.904,0.508,0.706,0.448
7.909,7.909,742,521,80,111,30,0.81,0.946,0.419,0.682,0.448
7.862,7.862,742,522,79,112,29,0.81,0.947,0.414,0.68,0.448
13.44,13.44,742,499,96,95,52,0.802,0.906,0.503,0.704,0.447
12.58,12.58,742,505,92,99,46,0.805,0.917,0.482,0.699,0.447
14.22,14.22,742,491,101,90,60,0.798,0.891,0.529,0.71,0.445
13.91,13.91,742,494,99,92,57,0.799,0.897,0.518,0.707,0.445
13.56,13.56,742,497,97,94,54,0.801,0.902,0.508,0.705,0.445
13.35,13.35,742,500,95,96,51,0.802,0.907,0.497,0.702,0.445
13.84,13.84,742,495,98,93,56,0.799,0.898,0.513,0.706,0.444
7.863,7.863,742,521,79,112,30,0.809,0.946,0.414,0.68,0.444
7.747,7.747,742,522,78,113,29,0.809,0.947,0.408,0.678,0.443
14.34,14.34,742,490,101,90,61,0.796,0.889,0.529,0.709,0.442
13.66,13.66,742,496,97,94,55,0.799,0.9,0.508,0.704,0.442
7.477,7.477,742,523,77,114,28,0.809,0.949,0.403,0.676,0.442
14.43,14.43,742,488,102,89,63,0.795,0.886,0.534,0.71,0.441
13.88,13.88,742,494,98,93,57,0.798,0.897,0.513,0.705,0.441
14.4,14.4,742,489,101,90,62,0.795,0.887,0.529,0.708,0.44
13.79,13.79,742,495,97,94,56,0.798,0.898,0.508,0.703,0.439
14.5,14.5,742,487,102,89,64,0.794,0.884,0.534,0.709,0.438
7.486,7.486,742,522,77,114,29,0.807,0.947,0.403,0.675,0.438
14.41,14.41,742,488,101,90,63,0.794,0.886,0.529,0.707,0.437
7.437,7.437,742,523,76,115,28,0.807,0.949,0.398,0.674,0.437
14.53,14.53,742,486,102,89,65,0.792,0.882,0.534,0.708,0.436
14.54,14.54,742,485,102,89,66,0.791,0.88,0.534,0.707,0.433
7.356,7.356,742,523,75,116,28,0.806,0.949,0.393,0.671,0.432
14.56,14.56,742,484,102,89,67,0.79,0.878,0.534,0.706,0.43
14.57,14.57,742,483,102,89,68,0.788,0.877,0.534,0.705,0.427
7.216,7.216,742,523,74,117,28,0.805,0.949,0.387,0.668,0.427
14.88,14.88,742,481,103,88,70,0.787,0.873,0.539,0.706,0.426
14.96,14.96,742,480,103,88,71,0.786,0.871,0.539,0.705,0.424
14.63,14.63,742,482,102,89,69,0.787,0.875,0.534,0.704,0.424
7.197,7.197,742,523,73,118,28,0.803,0.949,0.382,0.666,0.423
14.85,14.85,742,481,102,89,70,0.786,0.873,0.534,0.703,0.422
14.99,14.99,742,479,103,88,72,0.784,0.869,0.539,0.704,0.421
16.35,16.35,742,461,113,78,90,0.774,0.837,0.592,0.714,0.42
16.37,16.37,742,460,113,78,91,0.772,0.835,0.592,0.713,0.418
15.06,15.06,742,478,103,88,73,0.783,0.868,0.539,0.703,0.418
7.176,7.176,742,523,72,119,28,0.802,0.949,0.377,0.663,0.418
16.29,16.29,742,461,112,79,90,0.772,0.837,0.586,0.712,0.416
15.07,15.07,742,477,103,88,74,0.782,0.866,0.539,0.702,0.415
