tool,default_prediction_column,default_n_evaluated,default_accuracy,default_sensitivity,default_specificity,default_balanced_accuracy,default_mcc,score_column,pathogenic_score_direction,optimised_threshold,optimised_n_evaluated,optimised_accuracy,optimised_sensitivity,optimised_specificity,optimised_balanced_accuracy,optimised_mcc,mcc_change,evaluated_n_change
PrimateAI,PrimateAI_predicted_clean,457,0.241,0.012,0.946,0.479,-0.123,PrimateAI_score_new,higher,0.655839681625,457,0.499,0.414,0.759,0.587,0.154,0.277,0
BayesDel addAF,BayesDel_addAF_predicted_clean,522,0.785,0.968,0.116,0.542,0.159,BayesDel_addAF_score_new,higher,0.412496,522,0.638,0.578,0.857,0.718,0.357,0.198,0
BayesDel noAF,BayesDel_noAF_predicted_clean,522,0.782,0.956,0.143,0.549,0.165,BayesDel_noAF_score_new,higher,0.354745,522,0.661,0.617,0.821,0.719,0.36,0.195,0
EVE,EVE_predicted_clean,75,0.333,0.138,1,0.569,0.187,EVE_SCORE_new,higher,0.26978082501779665,220,0.814,0.832,0.667,0.75,0.373,0.186,145
DEOGEN2,DEOGEN2_predicted_clean,335,0.224,0.056,0.923,0.49,-0.036,DEOGEN2_score_new,higher,0.034258,335,0.803,0.97,0.108,0.539,0.149,0.185,0
MetaRNN,MetaRNN_predicted_clean,472,0.761,0.981,0.054,0.517,0.089,MetaRNN_score_new,higher,0.8478804,472,0.725,0.811,0.446,0.629,0.253,0.164,0
MutationAssessor,MutationAssessor_predicted_clean,224,0.871,0.925,0.417,0.671,0.336,MutationAssessor_score_new,higher,2.52,224,0.857,0.875,0.708,0.791,0.462,0.126,0
MetaLR,MetaLR_predicted_clean,472,0.78,0.992,0.098,0.545,0.225,MetaLR_score_new,higher,0.7827,472,0.722,0.753,0.625,0.689,0.34,0.115,0
LIST-S2,LIST_S2_predicted_clean,103,0.65,0.71,0.561,0.635,0.271,LIST_S2_score_new,higher,0.665433,103,0.699,0.968,0.293,0.63,0.372,0.101,0
ClinPred,ClinPred_predicted_clean,472,0.761,0.897,0.321,0.609,0.257,ClinPred_score_new,higher,0.96966141462326,472,0.686,0.667,0.75,0.709,0.358,0.101,0
MetaSVM,MetaSVM_predicted_clean,472,0.767,0.911,0.304,0.608,0.263,MetaSVM_score_new,higher,0.4833,472,0.731,0.764,0.625,0.695,0.352,0.089,0
PROVEAN,PROVEAN_predicted_clean,472,0.708,0.833,0.304,0.569,0.146,PROVEAN_score_new,lower,-1.65,472,0.773,0.956,0.188,0.572,0.226,0.08,0
Eigen-PC,Eigen_PC_predicted_clean,522,0.81,0.883,0.545,0.714,0.432,Eigen_PC_phred_coding_new,higher,1.776404,522,0.797,0.822,0.705,0.763,0.476,0.044,0
PolyPhen-2,PolyPhen_predicted_clean,481,0.694,0.72,0.615,0.667,0.299,PolyPhen_score,higher,0.098,481,0.769,0.893,0.385,0.639,0.314,0.015,0
DANN,DANN_predicted_clean,522,0.778,0.861,0.473,0.667,0.336,DANN_score_new,higher,0.9595738270659581,522,0.797,0.905,0.402,0.653,0.343,0.007,0
CADD,CADD_predicted_clean,742,0.819,0.94,0.471,0.706,0.484,CADD_PHRED_new,higher,10.56,742,0.819,0.94,0.471,0.706,0.484,0,0
AlphaMissense,AlphaMissense_predicted_clean,283,0.813,0.848,0.66,0.754,0.46,am_pathogenicity_new,higher,0.4253,325,0.794,0.835,0.631,0.733,0.425,-0.035,42
SIFT,SIFT_predicted_clean,472,0.79,0.922,0.366,0.644,0.347,SIFT_score,lower,0.09,481,0.765,0.893,0.368,0.631,0.297,-0.05,9
MutPred2,MutPred2_predicted_clean,291,0.863,0.887,0.783,0.835,0.641,MutPred2_score_new,higher,0.44281709127033114,472,0.831,0.908,0.58,0.744,0.513,-0.128,181
