Effect_function,n
Missense codons,1003
Frameshift,195
Inframe indels,68
Promoter,61
Stop gained,51
Splice region variant; Missense codons,34
5'UTR,22
Splice region variant,22
Synonymous substitution,21
Initiation codon,19
Splice donor,19
Splice acceptor,17
RNA cleavage - Poly(A) signal,16
Other 3'UTR site,15
missense codons,14
Stop lost,10
Cryptic splice site,8
Downstream transcript variant,5
missense,4
"Cryptic splice site, Synonymous substitution",3
Cryptic splice site; Synonymous substitution,3
"Missense codons, Cryptic splice site",3
Splice region variant; Frameshift,3
Splice region variant; Splice donor,3
Splice region variant; Synonymous substitution,2
Cryptic splice site; Missense codons,1
Missense,1
Splice region variant; Inframe indels,1
Splice region variant; Splice acceptor,1
Splice region variant; Splice acceptor; Inframe indels,1
Splice region variant; Stop gained,1
