file_name,thesis_section,purpose
tool_reference_table.csv,Methods / Supplementary table,"Documents tool classes, score columns, prediction columns and thresholds"
original_updated_column_inventory.csv,Results: original versus updated annotation comparison,Lists updated columns and whether matching original columns exist
original_updated_comparison_pairs.csv,Results: original versus updated annotation comparison,Lists original and updated annotation columns that can be compared directly
original_updated_annotation_comparison_summary.csv,Results: original versus updated annotation comparison,"Summarises same, different, newly available and missing annotation values"
original_updated_variant_level_differences.csv,Supplementary results,Lists variant-level annotation differences between original and updated data
original_updated_difference_summary_by_tool.csv,Results: original versus updated annotation comparison,Summarises original-versus-updated differences by annotation column
score_only_original_updated_difference_summary.csv,Results: original versus updated score comparison,Focuses comparison on score-based predictor columns only
top_changed_score_tools_original_vs_updated.csv,Results: original versus updated score comparison,Shows the predictor scores with the largest original-versus-updated differences
raw_score_coverage_by_tool.csv,Results: tool coverage,Shows raw score availability for each tool
raw_score_coverage_by_tool_and_variant_group.csv,Results: variant-group-specific coverage,Shows raw score availability by tool and variant group
coverage_by_tool_classification.csv,Results: tool-class coverage,Summarises coverage by tool classification
alphamissense_eve_coverage_check.csv,Results: AlphaMissense and EVE coverage,Checks coverage of newer predictors AlphaMissense and EVE
binary_tool_performance_summary.csv,Results: whole-dataset binary performance,Main binary performance metrics for all evaluated tools
binary_performance_summary_with_coverage.csv,Results: whole-dataset binary performance,Main binary performance with coverage and interpretation notes
top_performing_binary_tools.csv,Results: top-performing tools,Top tools ranked by MCC in the whole binary dataset
missense_binary_tool_performance_summary.csv,Results: missense-only performance,Binary performance restricted to missense variants
missense_binary_performance_summary_with_coverage.csv,Results: missense-only performance,Missense-only performance with coverage and interpretation notes
top_performing_missense_tools.csv,Results: top-performing missense tools,Top missense tools ranked by MCC
whole_vs_missense_performance_comparison.csv,Results: whole versus missense comparison,Compares whole-dataset and missense-only performance
splice_tool_score_summary.csv,Results: splice-focused descriptive analysis,Summarises splice-tool score availability and score ranges
spliceai_max_delta_score_bins.csv,Results: splice-focused descriptive analysis,Summarises distribution of maximum SpliceAI delta scores
default_threshold_performance_for_thresholdable_tools.csv,Results: default-threshold analysis,Performance using default or tool-provided thresholds
optimised_thresholds_all_tools_whole_dataset.csv,Results: exploratory threshold optimisation,Best MCC-based thresholds for all thresholdable tools
default_vs_corrected_optimised_threshold_comparison.csv,Results: default versus optimised threshold comparison,Compares default and optimised threshold performance
top_tools_improved_by_threshold_optimisation.csv,Results: threshold optimisation improvement summary,Ranks tools by improvement after threshold optimisation
tools_not_used_in_threshold_optimisation.csv,Methods / Supplementary table,Lists tools excluded from threshold optimisation and reasons
