tool,whole_n_evaluated,whole_coverage_percent,whole_accuracy,whole_sensitivity,whole_specificity,whole_balanced_accuracy,whole_mcc,missense_n_evaluated,missense_coverage_percent,missense_accuracy,missense_sensitivity,missense_specificity,missense_balanced_accuracy,missense_mcc,common_subset_n_evaluated,common_subset_accuracy,common_subset_sensitivity,common_subset_specificity,common_subset_balanced_accuracy,common_subset_mcc
MutPred2,291,28.4,0.863,0.887,0.783,0.835,0.641,277,59.2,0.856,0.88,0.783,0.832,0.635,181,0.906,0.948,0.679,0.814,0.636
AlphaMissense,283,27.6,0.813,0.848,0.66,0.754,0.46,283,60.5,0.813,0.848,0.66,0.754,0.46,181,0.917,0.961,0.679,0.82,0.67
Eigen-PC,522,50.9,0.81,0.883,0.545,0.714,0.432,457,97.6,0.79,0.87,0.545,0.708,0.422,181,0.89,0.948,0.571,0.759,0.554
popEVE,67,6.5,0.657,0.564,0.786,0.675,0.35,66,14.1,0.667,0.579,0.786,0.682,0.365,NA,NA,NA,NA,NA,NA
DANN,522,50.9,0.778,0.861,0.473,0.667,0.336,457,97.6,0.775,0.872,0.473,0.672,0.364,181,0.884,0.948,0.536,0.742,0.525
SIFT,472,46,0.79,0.922,0.366,0.644,0.347,457,97.6,0.783,0.919,0.366,0.643,0.342,181,0.884,0.974,0.393,0.683,0.481
MutationAssessor,224,21.8,0.871,0.925,0.417,0.671,0.336,224,47.9,0.871,0.925,0.417,0.671,0.336,NA,NA,NA,NA,NA,NA
ESM1b,514,50.1,0.759,0.853,0.42,0.636,0.278,457,97.6,0.753,0.861,0.42,0.64,0.297,181,0.867,0.922,0.571,0.746,0.493
PolyPhen-2,481,46.9,0.694,0.72,0.615,0.667,0.299,466,99.6,0.689,0.713,0.615,0.664,0.296,181,0.851,0.889,0.643,0.766,0.487
CADD,742,72.3,0.819,0.94,0.471,0.706,0.484,467,99.8,0.779,0.974,0.197,0.586,0.293,181,0.884,0.987,0.321,0.654,0.467
LIST-S2,103,10,0.65,0.71,0.561,0.635,0.271,101,21.6,0.644,0.7,0.561,0.631,0.261,NA,NA,NA,NA,NA,NA
MetaSVM,472,46,0.767,0.911,0.304,0.608,0.263,457,97.6,0.759,0.907,0.304,0.606,0.258,NA,NA,NA,NA,NA,NA
ClinPred,472,46,0.761,0.897,0.321,0.609,0.257,457,97.6,0.753,0.893,0.321,0.607,0.251,NA,NA,NA,NA,NA,NA
MetaLR,472,46,0.78,0.992,0.098,0.545,0.225,457,97.6,0.772,0.991,0.098,0.544,0.223,NA,NA,NA,NA,NA,NA
BayesDel noAF,522,50.9,0.782,0.956,0.143,0.549,0.165,457,97.6,0.768,0.971,0.143,0.557,0.211,NA,NA,NA,NA,NA,NA
BayesDel addAF,522,50.9,0.785,0.968,0.116,0.542,0.159,457,97.6,0.768,0.98,0.116,0.548,0.201,NA,NA,NA,NA,NA,NA
EVE,75,7.3,0.333,0.138,1,0.569,0.187,75,16,0.333,0.138,1,0.569,0.187,NA,NA,NA,NA,NA,NA
PROVEAN,472,46,0.708,0.833,0.304,0.569,0.146,457,97.6,0.718,0.852,0.304,0.578,0.172,NA,NA,NA,NA,NA,NA
MetaRNN,472,46,0.761,0.981,0.054,0.517,0.089,457,97.6,0.753,0.98,0.054,0.517,0.086,NA,NA,NA,NA,NA,NA
MutationTaster,447,43.6,0.805,0.992,0.012,0.502,0.014,388,82.9,0.776,0.99,0.012,0.501,0.008,NA,NA,NA,NA,NA,NA
DEOGEN2,335,32.7,0.224,0.056,0.923,0.49,-0.036,325,69.4,0.225,0.05,0.923,0.487,-0.047,NA,NA,NA,NA,NA,NA
PrimateAI,457,44.5,0.241,0.012,0.946,0.479,-0.123,457,97.6,0.241,0.012,0.946,0.479,-0.123,NA,NA,NA,NA,NA,NA
