tool,tool_classification,score_column,score_direction,default_threshold,optimised_threshold,direction,total_variants_evaluated,accuracy,sensitivity,specificity,balanced_accuracy,mcc,LR_positive,LR_negative
rf_score,Splicing predictor,rf_score_new,Higher score = stronger splice impact,NA,0.012,higher_pathogenic,71,0.986,1,0.5,0.75,0.702,2,0
MutPred2,Missense predictor,MutPred2_score_new,Higher score = more pathogenic,NA,0.44281709127033114,higher_pathogenic,472,0.831,0.908,0.58,0.744,0.513,2.165,0.158
CADD,General deleteriousness predictor,CADD_PHRED_new,Higher score = more deleterious,10.44,10.56,higher_pathogenic,742,0.819,0.94,0.471,0.706,0.484,1.778,0.127
Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,Higher score = more deleterious,1.3,1.776404,higher_pathogenic,522,0.797,0.822,0.705,0.763,0.476,2.79,0.252
MutationAssessor,Missense predictor,MutationAssessor_score_new,Higher score = more damaging,NA,2.52,higher_pathogenic,224,0.857,0.875,0.708,0.791,0.462,3,0.176
Eigen,Meta-predictor,Eigen_phred_coding_new,Higher score = more deleterious,NA,1.814883,higher_pathogenic,522,0.807,0.854,0.634,0.744,0.462,2.332,0.231
AlphaMissense,Missense predictor,am_pathogenicity_new,Higher score = more pathogenic,NA,0.4253,higher_pathogenic,325,0.794,0.835,0.631,0.733,0.425,2.26,0.262
REVEL,Meta-predictor,REVEL_score_new,Higher score = more pathogenic,NA,0.64,higher_pathogenic,472,0.773,0.831,0.589,0.71,0.403,2.022,0.288
phastCons100way,Conservation score,phastCons100way_vertebrate_new,Higher score = more conserved,NA,0.427,higher_pathogenic,522,0.766,0.798,0.652,0.725,0.403,2.29,0.311
EVE,Missense/evolutionary model,EVE_SCORE_new,Higher score = more pathogenic,NA,0.26978082501779665,higher_pathogenic,220,0.814,0.832,0.667,0.75,0.373,2.495,0.253
LIST-S2,Meta-predictor,LIST_S2_score_new,Higher score = more pathogenic,NA,0.665433,higher_pathogenic,103,0.699,0.968,0.293,0.63,0.372,1.368,0.11
phyloP100way,Conservation score,phyloP100way_vertebrate_new,Higher score = more conserved,NA,0.402,higher_pathogenic,522,0.778,0.846,0.527,0.686,0.362,1.788,0.292
BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,Higher score = more pathogenic,NA,0.354745,higher_pathogenic,522,0.661,0.617,0.821,0.719,0.36,3.456,0.466
ClinPred,Meta-predictor,ClinPred_score_new,Higher score = more pathogenic,NA,0.96966141462326,higher_pathogenic,472,0.686,0.667,0.75,0.709,0.358,2.667,0.444
BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,Higher score = more pathogenic,NA,0.412496,higher_pathogenic,522,0.638,0.578,0.857,0.718,0.357,4.046,0.492
MetaSVM,Meta-predictor,MetaSVM_score_new,Higher score = more pathogenic,NA,0.4833,higher_pathogenic,472,0.731,0.764,0.625,0.695,0.352,2.037,0.378
DANN,General deleteriousness predictor,DANN_score_new,Higher score = more deleterious,0.971,0.9595738270659581,higher_pathogenic,522,0.797,0.905,0.402,0.653,0.343,1.513,0.237
MetaLR,Meta-predictor,MetaLR_score_new,Higher score = more pathogenic,NA,0.7827,higher_pathogenic,472,0.722,0.753,0.625,0.689,0.34,2.007,0.396
GERP++,Conservation score,GERP__RS_new,Higher score = more conserved/constrained,NA,3.38,higher_pathogenic,522,0.649,0.612,0.786,0.699,0.327,2.857,0.494
VEST4,Missense predictor,VEST4_score_seperated,Higher score = more pathogenic,NA,0.7,higher_pathogenic,531,0.674,0.662,0.718,0.69,0.319,2.347,0.471
PolyPhen-2,Missense predictor,PolyPhen_score,Higher score = more damaging,NA,0.098,higher_pathogenic,481,0.769,0.893,0.385,0.639,0.314,1.451,0.279
