column_name,is_updated_column,possible_original_name,original_column_exists
BayesDel_addAF_score_new,TRUE,BayesDel_addAF_score,TRUE
CADD_PHRED_new,TRUE,CADD_PHRED,TRUE
ClinPred_score_new,TRUE,ClinPred_score,TRUE
Consequence_new,TRUE,Consequence,TRUE
DANN_score_new,TRUE,DANN_score,TRUE
Gene_new,TRUE,Gene,TRUE
Location_new,TRUE,Location,TRUE
MaxEntScan_diff_new,TRUE,MaxEntScan_diff,TRUE
MetaLR_score_new,TRUE,MetaLR_score,TRUE
MetaSVM_score_new,TRUE,MetaSVM_score,TRUE
MutationTaster_score_new,TRUE,MutationTaster_score,TRUE
REVEL_score_new,TRUE,REVEL_score,TRUE
ada_score_new,TRUE,ada_score,TRUE
phastCons17way_primate_new,TRUE,phastCons17way_primate,TRUE
phyloP100way_vertebrate_new,TRUE,phyloP100way_vertebrate,TRUE
rf_score_new,TRUE,rf_score,TRUE
AA_new,TRUE,AA,FALSE
AF_new,TRUE,AF,FALSE
ALFA_African_AC_new,TRUE,ALFA_African_AC,FALSE
ALFA_African_AF_new,TRUE,ALFA_African_AF,FALSE
ALFA_African_AN_new,TRUE,ALFA_African_AN,FALSE
ALFA_African_American_AC_new,TRUE,ALFA_African_American_AC,FALSE
ALFA_African_American_AF_new,TRUE,ALFA_African_American_AF,FALSE
ALFA_African_American_AN_new,TRUE,ALFA_African_American_AN,FALSE
ALFA_African_Others_AC_new,TRUE,ALFA_African_Others_AC,FALSE
ALFA_African_Others_AF_new,TRUE,ALFA_African_Others_AF,FALSE
ALFA_African_Others_AN_new,TRUE,ALFA_African_Others_AN,FALSE
ALFA_Asian_AC_new,TRUE,ALFA_Asian_AC,FALSE
ALFA_Asian_AF_new,TRUE,ALFA_Asian_AF,FALSE
ALFA_Asian_AN_new,TRUE,ALFA_Asian_AN,FALSE
ALFA_East_Asian_AC_new,TRUE,ALFA_East_Asian_AC,FALSE
ALFA_East_Asian_AF_new,TRUE,ALFA_East_Asian_AF,FALSE
ALFA_East_Asian_AN_new,TRUE,ALFA_East_Asian_AN,FALSE
ALFA_European_AC_new,TRUE,ALFA_European_AC,FALSE
ALFA_European_AF_new,TRUE,ALFA_European_AF,FALSE
ALFA_European_AN_new,TRUE,ALFA_European_AN,FALSE
ALFA_Latin_American_1_AC_new,TRUE,ALFA_Latin_American_1_AC,FALSE
ALFA_Latin_American_1_AF_new,TRUE,ALFA_Latin_American_1_AF,FALSE
ALFA_Latin_American_1_AN_new,TRUE,ALFA_Latin_American_1_AN,FALSE
ALFA_Latin_American_2_AC_new,TRUE,ALFA_Latin_American_2_AC,FALSE
ALFA_Latin_American_2_AF_new,TRUE,ALFA_Latin_American_2_AF,FALSE
ALFA_Latin_American_2_AN_new,TRUE,ALFA_Latin_American_2_AN,FALSE
ALFA_Other_AC_new,TRUE,ALFA_Other_AC,FALSE
ALFA_Other_AF_new,TRUE,ALFA_Other_AF,FALSE
ALFA_Other_AN_new,TRUE,ALFA_Other_AN,FALSE
ALFA_Other_Asian_AC_new,TRUE,ALFA_Other_Asian_AC,FALSE
ALFA_Other_Asian_AF_new,TRUE,ALFA_Other_Asian_AF,FALSE
ALFA_Other_Asian_AN_new,TRUE,ALFA_Other_Asian_AN,FALSE
ALFA_South_Asian_AC_new,TRUE,ALFA_South_Asian_AC,FALSE
ALFA_South_Asian_AF_new,TRUE,ALFA_South_Asian_AF,FALSE
ALFA_South_Asian_AN_new,TRUE,ALFA_South_Asian_AN,FALSE
ALFA_Total_AC_new,TRUE,ALFA_Total_AC,FALSE
ALFA_Total_AF_new,TRUE,ALFA_Total_AF,FALSE
ALFA_Total_AN_new,TRUE,ALFA_Total_AN,FALSE
APPRIS_new,TRUE,APPRIS,FALSE
Allele_new,TRUE,Allele,FALSE
AllofUs_AFR_AC_new,TRUE,AllofUs_AFR_AC,FALSE
AllofUs_AFR_AF_new,TRUE,AllofUs_AFR_AF,FALSE
AllofUs_AFR_AN_new,TRUE,AllofUs_AFR_AN,FALSE
AllofUs_ALL_AC_new,TRUE,AllofUs_ALL_AC,FALSE
AllofUs_ALL_AF_new,TRUE,AllofUs_ALL_AF,FALSE
AllofUs_ALL_AN_new,TRUE,AllofUs_ALL_AN,FALSE
AllofUs_AMR_AC_new,TRUE,AllofUs_AMR_AC,FALSE
AllofUs_AMR_AF_new,TRUE,AllofUs_AMR_AF,FALSE
AllofUs_AMR_AN_new,TRUE,AllofUs_AMR_AN,FALSE
AllofUs_EAS_AC_new,TRUE,AllofUs_EAS_AC,FALSE
AllofUs_EAS_AF_new,TRUE,AllofUs_EAS_AF,FALSE
AllofUs_EAS_AN_new,TRUE,AllofUs_EAS_AN,FALSE
AllofUs_EUR_AC_new,TRUE,AllofUs_EUR_AC,FALSE
AllofUs_EUR_AF_new,TRUE,AllofUs_EUR_AF,FALSE
AllofUs_EUR_AN_new,TRUE,AllofUs_EUR_AN,FALSE
AllofUs_MID_AC_new,TRUE,AllofUs_MID_AC,FALSE
AllofUs_MID_AF_new,TRUE,AllofUs_MID_AF,FALSE
AllofUs_MID_AN_new,TRUE,AllofUs_MID_AN,FALSE
AllofUs_OTH_AC_new,TRUE,AllofUs_OTH_AC,FALSE
AllofUs_OTH_AF_new,TRUE,AllofUs_OTH_AF,FALSE
AllofUs_OTH_AN_new,TRUE,AllofUs_OTH_AN,FALSE
AllofUs_POPMAX_AC_new,TRUE,AllofUs_POPMAX_AC,FALSE
AllofUs_POPMAX_AF_new,TRUE,AllofUs_POPMAX_AF,FALSE
AllofUs_POPMAX_AN_new,TRUE,AllofUs_POPMAX_AN,FALSE
AllofUs_POPMAX_POP_new,TRUE,AllofUs_POPMAX_POP,FALSE
AllofUs_SAS_AC_new,TRUE,AllofUs_SAS_AC,FALSE
AllofUs_SAS_AF_new,TRUE,AllofUs_SAS_AF,FALSE
AllofUs_SAS_AN_new,TRUE,AllofUs_SAS_AN,FALSE
Aloft_Confidence_new,TRUE,Aloft_Confidence,FALSE
Aloft_Fraction_transcripts_affected_new,TRUE,Aloft_Fraction_transcripts_affected,FALSE
Aloft_pred_new,TRUE,Aloft_pred,FALSE
Aloft_prob_Dominant_new,TRUE,Aloft_prob_Dominant,FALSE
Aloft_prob_Recessive_new,TRUE,Aloft_prob_Recessive,FALSE
Aloft_prob_Tolerant_new,TRUE,Aloft_prob_Tolerant,FALSE
AltaiNeandertal_new,TRUE,AltaiNeandertal,FALSE
Amino_acids_new,TRUE,Amino_acids,FALSE
BIOTYPE_new,TRUE,BIOTYPE,FALSE
BLOSUM62_new,TRUE,BLOSUM62,FALSE
BayesDel_addAF_pred_new,TRUE,BayesDel_addAF_pred,FALSE
BayesDel_addAF_rankscore_new,TRUE,BayesDel_addAF_rankscore,FALSE
BayesDel_noAF_pred_new,TRUE,BayesDel_noAF_pred,FALSE
BayesDel_noAF_rankscore_new,TRUE,BayesDel_noAF_rankscore,FALSE
BayesDel_noAF_score_new,TRUE,BayesDel_noAF_score,FALSE
CADD_RAW_new,TRUE,CADD_RAW,FALSE
CCDS_id_new,TRUE,CCDS_id,FALSE
CDS_position_new,TRUE,CDS_position,FALSE
CLIN_SIG_new,TRUE,CLIN_SIG,FALSE
ChagyrskayaNeandertal_new,TRUE,ChagyrskayaNeandertal,FALSE
ClinGen_Haploinsufficiency_Description_new,TRUE,ClinGen_Haploinsufficiency_Description,FALSE
ClinGen_Haploinsufficiency_Disease_new,TRUE,ClinGen_Haploinsufficiency_Disease,FALSE
ClinGen_Haploinsufficiency_PMID_new,TRUE,ClinGen_Haploinsufficiency_PMID,FALSE
ClinGen_Haploinsufficiency_Score_new,TRUE,ClinGen_Haploinsufficiency_Score,FALSE
ClinPred_new,TRUE,ClinPred,FALSE
ClinPred_pred_new,TRUE,ClinPred_pred,FALSE
ClinPred_rankscore_new,TRUE,ClinPred_rankscore,FALSE
Codons_new,TRUE,Codons,FALSE
DANN_rankscore_new,TRUE,DANN_rankscore,FALSE
DEOGEN2_pred_new,TRUE,DEOGEN2_pred,FALSE
DEOGEN2_rankscore_new,TRUE,DEOGEN2_rankscore,FALSE
DEOGEN2_score_new,TRUE,DEOGEN2_score,FALSE
DISTANCE_new,TRUE,DISTANCE,FALSE
Denisova_new,TRUE,Denisova,FALSE
Disease_description_new,TRUE,Disease_description,FALSE
ESM1b_converted_rankscore_new,TRUE,ESM1b_converted_rankscore,FALSE
ESM1b_pred_new,TRUE,ESM1b_pred,FALSE
ESM1b_score_new,TRUE,ESM1b_score,FALSE
EVE_CLASS_new,TRUE,EVE_CLASS,FALSE
EVE_SCORE_new,TRUE,EVE_SCORE,FALSE
EXON_new,TRUE,EXON,FALSE
Eigen_PC_phred_coding_new,TRUE,Eigen_PC_phred_coding,FALSE
Eigen_PC_raw_coding_new,TRUE,Eigen_PC_raw_coding,FALSE
Eigen_PC_raw_coding_rankscore_new,TRUE,Eigen_PC_raw_coding_rankscore,FALSE
Eigen_phred_coding_new,TRUE,Eigen_phred_coding,FALSE
Eigen_raw_coding_new,TRUE,Eigen_raw_coding,FALSE
Eigen_raw_coding_rankscore_new,TRUE,Eigen_raw_coding_rankscore,FALSE
Ensembl_geneid_new,TRUE,Ensembl_geneid,FALSE
Ensembl_proteinid_new,TRUE,Ensembl_proteinid,FALSE
Ensembl_transcriptid_new,TRUE,Ensembl_transcriptid,FALSE
Entrez_gene_id_new,TRUE,Entrez_gene_id,FALSE
Essential_gene_CRISPR2_new,TRUE,Essential_gene_CRISPR2,FALSE
