variant_group,tool,tool_classification,score_column,total_variants_in_group,variants_with_score,variants_without_score,percent_with_score
All variants,AlphaMissense,Missense predictor,am_pathogenicity_new,1627,757,870,46.5
Frameshift,AlphaMissense,Missense predictor,am_pathogenicity_new,215,0,215,0
Inframe indel,AlphaMissense,Missense predictor,am_pathogenicity_new,70,0,70,0
Initiation codon,AlphaMissense,Missense predictor,am_pathogenicity_new,19,0,19,0
Missense,AlphaMissense,Missense predictor,am_pathogenicity_new,998,757,241,75.9
Nonsense / stop,AlphaMissense,Missense predictor,am_pathogenicity_new,68,0,68,0
Regulatory / non-coding,AlphaMissense,Missense predictor,am_pathogenicity_new,220,0,220,0
Splice / cryptic splice,AlphaMissense,Missense predictor,am_pathogenicity_new,127,29,98,22.8
Synonymous,AlphaMissense,Missense predictor,am_pathogenicity_new,31,0,31,0
All variants,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,1627,993,634,61
Frameshift,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,215,0,215,0
Inframe indel,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,70,0,70,0
Initiation codon,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,19,15,4,78.9
Missense,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,998,978,20,98
Nonsense / stop,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,68,0,68,0
Regulatory / non-coding,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,220,0,220,0
Splice / cryptic splice,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,127,38,89,29.9
Synonymous,BLOSUM62,Amino-acid substitution/conservation score,BLOSUM62_new,31,0,31,0
All variants,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,1627,1042,585,64
Frameshift,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,215,0,215,0
Inframe indel,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,70,0,70,0
Initiation codon,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,19,15,4,78.9
Missense,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,998,977,21,97.9
Nonsense / stop,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,68,50,18,73.5
Regulatory / non-coding,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,220,0,220,0
Splice / cryptic splice,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,127,39,88,30.7
Synonymous,BayesDel addAF,Meta-predictor,BayesDel_addAF_score_new,31,0,31,0
All variants,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,1627,1042,585,64
Frameshift,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,215,0,215,0
Inframe indel,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,70,0,70,0
Initiation codon,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,19,15,4,78.9
Missense,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,998,977,21,97.9
Nonsense / stop,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,68,50,18,73.5
Regulatory / non-coding,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,220,0,220,0
Splice / cryptic splice,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,127,39,88,30.7
Synonymous,BayesDel noAF,Meta-predictor,BayesDel_noAF_score_new,31,0,31,0
All variants,CADD,General deleteriousness predictor,CADD_PHRED_new,1627,1319,308,81.1
Frameshift,CADD,General deleteriousness predictor,CADD_PHRED_new,215,9,206,4.2
Inframe indel,CADD,General deleteriousness predictor,CADD_PHRED_new,70,1,69,1.4
Initiation codon,CADD,General deleteriousness predictor,CADD_PHRED_new,19,15,4,78.9
Missense,CADD,General deleteriousness predictor,CADD_PHRED_new,998,993,5,99.5
Nonsense / stop,CADD,General deleteriousness predictor,CADD_PHRED_new,68,50,18,73.5
Regulatory / non-coding,CADD,General deleteriousness predictor,CADD_PHRED_new,220,188,32,85.5
Splice / cryptic splice,CADD,General deleteriousness predictor,CADD_PHRED_new,127,108,19,85
Synonymous,CADD,General deleteriousness predictor,CADD_PHRED_new,31,31,0,100
All variants,ClinPred,Meta-predictor,ClinPred_score_new,1627,992,635,61
Frameshift,ClinPred,Meta-predictor,ClinPred_score_new,215,0,215,0
Inframe indel,ClinPred,Meta-predictor,ClinPred_score_new,70,0,70,0
Initiation codon,ClinPred,Meta-predictor,ClinPred_score_new,19,15,4,78.9
Missense,ClinPred,Meta-predictor,ClinPred_score_new,998,977,21,97.9
Nonsense / stop,ClinPred,Meta-predictor,ClinPred_score_new,68,0,68,0
Regulatory / non-coding,ClinPred,Meta-predictor,ClinPred_score_new,220,0,220,0
Splice / cryptic splice,ClinPred,Meta-predictor,ClinPred_score_new,127,38,89,29.9
Synonymous,ClinPred,Meta-predictor,ClinPred_score_new,31,0,31,0
All variants,Condel,Meta-predictor,Condel_score,1627,1007,620,61.9
Frameshift,Condel,Meta-predictor,Condel_score,215,0,215,0
Inframe indel,Condel,Meta-predictor,Condel_score,70,0,70,0
Initiation codon,Condel,Meta-predictor,Condel_score,19,15,4,78.9
Missense,Condel,Meta-predictor,Condel_score,998,992,6,99.4
Nonsense / stop,Condel,Meta-predictor,Condel_score,68,0,68,0
Regulatory / non-coding,Condel,Meta-predictor,Condel_score,220,0,220,0
Splice / cryptic splice,Condel,Meta-predictor,Condel_score,127,38,89,29.9
Synonymous,Condel,Meta-predictor,Condel_score,31,0,31,0
All variants,DANN,General deleteriousness predictor,DANN_score_new,1627,1042,585,64
Frameshift,DANN,General deleteriousness predictor,DANN_score_new,215,0,215,0
Inframe indel,DANN,General deleteriousness predictor,DANN_score_new,70,0,70,0
Initiation codon,DANN,General deleteriousness predictor,DANN_score_new,19,15,4,78.9
Missense,DANN,General deleteriousness predictor,DANN_score_new,998,977,21,97.9
Nonsense / stop,DANN,General deleteriousness predictor,DANN_score_new,68,50,18,73.5
Regulatory / non-coding,DANN,General deleteriousness predictor,DANN_score_new,220,0,220,0
Splice / cryptic splice,DANN,General deleteriousness predictor,DANN_score_new,127,39,88,30.7
Synonymous,DANN,General deleteriousness predictor,DANN_score_new,31,0,31,0
All variants,DEOGEN2,Missense predictor,DEOGEN2_score_new,1627,767,860,47.1
Frameshift,DEOGEN2,Missense predictor,DEOGEN2_score_new,215,0,215,0
Inframe indel,DEOGEN2,Missense predictor,DEOGEN2_score_new,70,0,70,0
Initiation codon,DEOGEN2,Missense predictor,DEOGEN2_score_new,19,10,9,52.6
Missense,DEOGEN2,Missense predictor,DEOGEN2_score_new,998,757,241,75.9
Nonsense / stop,DEOGEN2,Missense predictor,DEOGEN2_score_new,68,0,68,0
Regulatory / non-coding,DEOGEN2,Missense predictor,DEOGEN2_score_new,220,0,220,0
Splice / cryptic splice,DEOGEN2,Missense predictor,DEOGEN2_score_new,127,29,98,22.8
Synonymous,DEOGEN2,Missense predictor,DEOGEN2_score_new,31,0,31,0
All variants,ESM1b,Protein language model predictor,ESM1b_score_new,1627,1034,593,63.6
Frameshift,ESM1b,Protein language model predictor,ESM1b_score_new,215,0,215,0
Inframe indel,ESM1b,Protein language model predictor,ESM1b_score_new,70,0,70,0
Initiation codon,ESM1b,Protein language model predictor,ESM1b_score_new,19,15,4,78.9
Missense,ESM1b,Protein language model predictor,ESM1b_score_new,998,977,21,97.9
Nonsense / stop,ESM1b,Protein language model predictor,ESM1b_score_new,68,42,26,61.8
Regulatory / non-coding,ESM1b,Protein language model predictor,ESM1b_score_new,220,0,220,0
Splice / cryptic splice,ESM1b,Protein language model predictor,ESM1b_score_new,127,39,88,30.7
Synonymous,ESM1b,Protein language model predictor,ESM1b_score_new,31,0,31,0
All variants,EVE,Missense/evolutionary model,EVE_SCORE_new,1627,577,1050,35.5
Frameshift,EVE,Missense/evolutionary model,EVE_SCORE_new,215,0,215,0
Inframe indel,EVE,Missense/evolutionary model,EVE_SCORE_new,70,0,70,0
Initiation codon,EVE,Missense/evolutionary model,EVE_SCORE_new,19,0,19,0
Missense,EVE,Missense/evolutionary model,EVE_SCORE_new,998,577,421,57.8
Nonsense / stop,EVE,Missense/evolutionary model,EVE_SCORE_new,68,0,68,0
Regulatory / non-coding,EVE,Missense/evolutionary model,EVE_SCORE_new,220,0,220,0
Splice / cryptic splice,EVE,Missense/evolutionary model,EVE_SCORE_new,127,16,111,12.6
Synonymous,EVE,Missense/evolutionary model,EVE_SCORE_new,31,0,31,0
All variants,Eigen,Meta-predictor,Eigen_phred_coding_new,1627,1042,585,64
Frameshift,Eigen,Meta-predictor,Eigen_phred_coding_new,215,0,215,0
Inframe indel,Eigen,Meta-predictor,Eigen_phred_coding_new,70,0,70,0
Initiation codon,Eigen,Meta-predictor,Eigen_phred_coding_new,19,15,4,78.9
Missense,Eigen,Meta-predictor,Eigen_phred_coding_new,998,977,21,97.9
Nonsense / stop,Eigen,Meta-predictor,Eigen_phred_coding_new,68,50,18,73.5
Regulatory / non-coding,Eigen,Meta-predictor,Eigen_phred_coding_new,220,0,220,0
Splice / cryptic splice,Eigen,Meta-predictor,Eigen_phred_coding_new,127,39,88,30.7
Synonymous,Eigen,Meta-predictor,Eigen_phred_coding_new,31,0,31,0
All variants,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,1627,1042,585,64
Frameshift,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,215,0,215,0
Inframe indel,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,70,0,70,0
Initiation codon,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,19,15,4,78.9
Missense,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,998,977,21,97.9
Nonsense / stop,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,68,50,18,73.5
Regulatory / non-coding,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,220,0,220,0
Splice / cryptic splice,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,127,39,88,30.7
Synonymous,Eigen-PC,Meta-predictor,Eigen_PC_phred_coding_new,31,0,31,0
All variants,GERP++,Conservation score,GERP__RS_new,1627,1042,585,64
Frameshift,GERP++,Conservation score,GERP__RS_new,215,0,215,0
Inframe indel,GERP++,Conservation score,GERP__RS_new,70,0,70,0
Initiation codon,GERP++,Conservation score,GERP__RS_new,19,15,4,78.9
Missense,GERP++,Conservation score,GERP__RS_new,998,977,21,97.9
Nonsense / stop,GERP++,Conservation score,GERP__RS_new,68,50,18,73.5
Regulatory / non-coding,GERP++,Conservation score,GERP__RS_new,220,0,220,0
Splice / cryptic splice,GERP++,Conservation score,GERP__RS_new,127,39,88,30.7
Synonymous,GERP++,Conservation score,GERP__RS_new,31,0,31,0
All variants,LIST-S2,Meta-predictor,LIST_S2_score_new,1627,178,1449,10.9
Frameshift,LIST-S2,Meta-predictor,LIST_S2_score_new,215,0,215,0
Inframe indel,LIST-S2,Meta-predictor,LIST_S2_score_new,70,0,70,0
Initiation codon,LIST-S2,Meta-predictor,LIST_S2_score_new,19,2,17,10.5
Missense,LIST-S2,Meta-predictor,LIST_S2_score_new,998,176,822,17.6
Nonsense / stop,LIST-S2,Meta-predictor,LIST_S2_score_new,68,0,68,0
Regulatory / non-coding,LIST-S2,Meta-predictor,LIST_S2_score_new,220,0,220,0
Splice / cryptic splice,LIST-S2,Meta-predictor,LIST_S2_score_new,127,8,119,6.3
Synonymous,LIST-S2,Meta-predictor,LIST_S2_score_new,31,0,31,0
All variants,MPC,Missense predictor,MPC_score_new,1627,801,826,49.2
Frameshift,MPC,Missense predictor,MPC_score_new,215,0,215,0
Inframe indel,MPC,Missense predictor,MPC_score_new,70,0,70,0
Initiation codon,MPC,Missense predictor,MPC_score_new,19,0,19,0
Missense,MPC,Missense predictor,MPC_score_new,998,801,197,80.3
Nonsense / stop,MPC,Missense predictor,MPC_score_new,68,0,68,0
Regulatory / non-coding,MPC,Missense predictor,MPC_score_new,220,0,220,0
Splice / cryptic splice,MPC,Missense predictor,MPC_score_new,127,30,97,23.6
Synonymous,MPC,Missense predictor,MPC_score_new,31,0,31,0
All variants,MVP,Missense predictor,MVP_score_new,1627,992,635,61
Frameshift,MVP,Missense predictor,MVP_score_new,215,0,215,0
Inframe indel,MVP,Missense predictor,MVP_score_new,70,0,70,0
Initiation codon,MVP,Missense predictor,MVP_score_new,19,15,4,78.9
Missense,MVP,Missense predictor,MVP_score_new,998,977,21,97.9
Nonsense / stop,MVP,Missense predictor,MVP_score_new,68,0,68,0
Regulatory / non-coding,MVP,Missense predictor,MVP_score_new,220,0,220,0
Splice / cryptic splice,MVP,Missense predictor,MVP_score_new,127,38,89,29.9
Synonymous,MVP,Missense predictor,MVP_score_new,31,0,31,0
All variants,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,1627,94,1533,5.8
Frameshift,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,215,0,215,0
Inframe indel,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,70,0,70,0
Initiation codon,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,19,0,19,0
Missense,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,998,34,964,3.4
Nonsense / stop,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,68,1,67,1.5
Regulatory / non-coding,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,220,21,199,9.5
Splice / cryptic splice,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,127,92,35,72.4
Synonymous,MaxEntScan,Splicing predictor,MaxEntScan_diff_new,31,4,27,12.9
All variants,MetaLR,Meta-predictor,MetaLR_score_new,1627,992,635,61
Frameshift,MetaLR,Meta-predictor,MetaLR_score_new,215,0,215,0
Inframe indel,MetaLR,Meta-predictor,MetaLR_score_new,70,0,70,0
Initiation codon,MetaLR,Meta-predictor,MetaLR_score_new,19,15,4,78.9
Missense,MetaLR,Meta-predictor,MetaLR_score_new,998,977,21,97.9
Nonsense / stop,MetaLR,Meta-predictor,MetaLR_score_new,68,0,68,0
Regulatory / non-coding,MetaLR,Meta-predictor,MetaLR_score_new,220,0,220,0
Splice / cryptic splice,MetaLR,Meta-predictor,MetaLR_score_new,127,38,89,29.9
Synonymous,MetaLR,Meta-predictor,MetaLR_score_new,31,0,31,0
All variants,MetaRNN,Meta-predictor,MetaRNN_score_new,1627,992,635,61
Frameshift,MetaRNN,Meta-predictor,MetaRNN_score_new,215,0,215,0
Inframe indel,MetaRNN,Meta-predictor,MetaRNN_score_new,70,0,70,0
Initiation codon,MetaRNN,Meta-predictor,MetaRNN_score_new,19,15,4,78.9
Missense,MetaRNN,Meta-predictor,MetaRNN_score_new,998,977,21,97.9
Nonsense / stop,MetaRNN,Meta-predictor,MetaRNN_score_new,68,0,68,0
Regulatory / non-coding,MetaRNN,Meta-predictor,MetaRNN_score_new,220,0,220,0
Splice / cryptic splice,MetaRNN,Meta-predictor,MetaRNN_score_new,127,38,89,29.9
Synonymous,MetaRNN,Meta-predictor,MetaRNN_score_new,31,0,31,0
All variants,MetaSVM,Meta-predictor,MetaSVM_score_new,1627,992,635,61
Frameshift,MetaSVM,Meta-predictor,MetaSVM_score_new,215,0,215,0
Inframe indel,MetaSVM,Meta-predictor,MetaSVM_score_new,70,0,70,0
Initiation codon,MetaSVM,Meta-predictor,MetaSVM_score_new,19,15,4,78.9
Missense,MetaSVM,Meta-predictor,MetaSVM_score_new,998,977,21,97.9
Nonsense / stop,MetaSVM,Meta-predictor,MetaSVM_score_new,68,0,68,0
Regulatory / non-coding,MetaSVM,Meta-predictor,MetaSVM_score_new,220,0,220,0
Splice / cryptic splice,MetaSVM,Meta-predictor,MetaSVM_score_new,127,38,89,29.9
Synonymous,MetaSVM,Meta-predictor,MetaSVM_score_new,31,0,31,0
All variants,MutPred2,Missense predictor,MutPred2_score_new,1627,992,635,61
Frameshift,MutPred2,Missense predictor,MutPred2_score_new,215,0,215,0
Inframe indel,MutPred2,Missense predictor,MutPred2_score_new,70,0,70,0
Initiation codon,MutPred2,Missense predictor,MutPred2_score_new,19,15,4,78.9
Missense,MutPred2,Missense predictor,MutPred2_score_new,998,977,21,97.9
Nonsense / stop,MutPred2,Missense predictor,MutPred2_score_new,68,0,68,0
Regulatory / non-coding,MutPred2,Missense predictor,MutPred2_score_new,220,0,220,0
Splice / cryptic splice,MutPred2,Missense predictor,MutPred2_score_new,127,38,89,29.9
Synonymous,MutPred2,Missense predictor,MutPred2_score_new,31,0,31,0
