tool,tool_error_group,n_variants,n_with_popmax_af,median_popmax_af,mean_popmax_af,min_popmax_af,max_popmax_af,n_af_above_0_001,n_af_above_0_01
AlphaMissense,FN,35,16,1.385735e-5,0.00349665823425,8.47478e-7,0.0494874,2,1
AlphaMissense,FP,18,7,1.66617e-5,4.8904737e-5,8.47574e-7,2.22777e-4,0,0
AlphaMissense,TN,35,19,2.22856e-5,0.0017640599826842106,8.47471e-7,0.0181407,2,2
AlphaMissense,TP,195,24,1.931655e-5,1.5984199725e-4,8.47433e-7,0.00258015,1,0
CADD,FN,33,1,4.23791e-6,4.23791e-6,4.23791e-6,4.23791e-6,0,0
CADD,FP,101,30,3.2512600000000004e-5,5.770543473333333e-4,8.47443e-7,0.0145191,1,1
CADD,TN,90,11,1.56157e-5,0.0017350759609999998,8.47471e-7,0.0181407,1,1
CADD,TP,518,89,1.67112e-5,7.378538576853933e-4,0,0.0494874,5,1
MutPred2,FN,7,3,4.23791e-6,2.4963052e-4,4.01765e-6,7.40636e-4,0,0
MutPred2,FP,59,22,4.10339e-5,9.348098029999999e-4,8.47574e-7,0.0181407,1,1
MutPred2,TN,10,1,1.93708e-5,1.93708e-5,1.93708e-5,1.93708e-5,0,0
MutPred2,TP,215,34,1.6667200000000002e-5,4.637592352941177e-5,0,6.58863e-4,0,0
