threshold,n_evaluated,TP,TN,FP,FN,sensitivity,specificity,LR_positive,LR_positive_lower_95,LR_positive_upper_95,LR_negative,LR_negative_lower_95,LR_negative_upper_95,qualifies_pathogenic_LR,qualifies_benign_LR
0.55,325,197,47,18,63,0.758,0.723,2.736,1.823,3.998,0.335,0.26,0.439,FALSE,TRUE
0.56,325,195,47,18,65,0.75,0.723,2.708,1.804,3.958,0.346,0.269,0.451,FALSE,TRUE
0.5700000000000001,325,193,47,18,67,0.742,0.723,2.681,1.785,3.919,0.356,0.279,0.464,FALSE,TRUE
0.5800000000000001,325,192,47,18,68,0.738,0.723,2.667,1.776,3.899,0.362,0.283,0.47,FALSE,TRUE
0.5900000000000001,325,192,48,17,68,0.738,0.738,2.824,1.85,4.183,0.354,0.278,0.458,FALSE,TRUE
0.6000000000000001,325,192,48,17,68,0.738,0.738,2.824,1.85,4.183,0.354,0.278,0.458,FALSE,TRUE
0.6100000000000001,325,192,48,17,68,0.738,0.738,2.824,1.85,4.183,0.354,0.278,0.458,FALSE,TRUE
0.6200000000000001,325,191,48,17,69,0.735,0.738,2.809,1.84,4.162,0.359,0.283,0.464,FALSE,TRUE
0.63,325,190,48,17,70,0.731,0.738,2.794,1.83,4.141,0.365,0.287,0.47,FALSE,TRUE
0.64,325,190,48,17,70,0.731,0.738,2.794,1.83,4.141,0.365,0.287,0.47,FALSE,TRUE
0.65,325,190,48,17,70,0.731,0.738,2.794,1.83,4.141,0.365,0.287,0.47,FALSE,TRUE
0.66,325,189,49,16,71,0.727,0.754,2.953,1.9,4.44,0.362,0.287,0.465,FALSE,TRUE
0.67,325,189,49,16,71,0.727,0.754,2.953,1.9,4.44,0.362,0.287,0.465,FALSE,TRUE
0.68,325,186,49,16,74,0.715,0.754,2.906,1.869,4.371,0.378,0.3,0.482,FALSE,FALSE
0.6900000000000001,325,185,49,16,75,0.712,0.754,2.891,1.859,4.348,0.383,0.305,0.488,FALSE,FALSE
0.7000000000000001,325,184,49,16,76,0.708,0.754,2.875,1.848,4.326,0.388,0.309,0.494,FALSE,FALSE
0.7100000000000001,325,183,50,15,77,0.704,0.769,3.05,1.923,4.66,0.385,0.308,0.488,FALSE,FALSE
0.7200000000000001,325,180,50,15,80,0.692,0.769,3,1.891,4.586,0.4,0.322,0.505,FALSE,FALSE
0.73,325,179,51,14,81,0.688,0.785,3.196,1.972,4.969,0.397,0.321,0.499,FALSE,FALSE
0.74,325,178,52,13,82,0.685,0.8,3.423,2.063,5.419,0.394,0.32,0.493,FALSE,FALSE
0.75,325,178,52,13,82,0.685,0.8,3.423,2.063,5.419,0.394,0.32,0.493,FALSE,FALSE
0.76,325,174,52,13,86,0.669,0.8,3.346,2.016,5.3,0.413,0.337,0.515,FALSE,FALSE
0.77,325,172,53,12,88,0.662,0.815,3.583,2.103,5.792,0.415,0.341,0.514,TRUE,FALSE
0.78,325,171,53,12,89,0.658,0.815,3.562,2.09,5.759,0.42,0.345,0.519,TRUE,FALSE
0.79,325,170,53,12,90,0.654,0.815,3.542,2.078,5.726,0.425,0.349,0.524,FALSE,FALSE
0.8,325,168,53,12,92,0.646,0.815,3.5,2.053,5.66,0.434,0.358,0.535,FALSE,FALSE
0.81,325,166,54,11,94,0.638,0.831,3.773,2.148,6.239,0.435,0.361,0.533,TRUE,FALSE
0.8200000000000001,325,166,54,11,94,0.638,0.831,3.773,2.148,6.239,0.435,0.361,0.533,TRUE,FALSE
0.8300000000000001,325,166,56,9,94,0.638,0.862,4.611,2.443,8.039,0.42,0.35,0.511,TRUE,FALSE
0.8400000000000001,325,165,56,9,95,0.635,0.862,4.583,2.429,7.991,0.424,0.354,0.516,TRUE,FALSE
0.8500000000000001,325,163,56,9,97,0.627,0.862,4.528,2.399,7.897,0.433,0.362,0.525,TRUE,FALSE
0.8600000000000001,325,160,58,7,100,0.615,0.892,5.714,2.74,10.688,0.431,0.364,0.518,TRUE,FALSE
0.8700000000000001,325,156,59,6,104,0.6,0.908,6.5,2.915,12.718,0.441,0.375,0.526,TRUE,FALSE
0.8800000000000001,325,149,59,6,111,0.573,0.908,6.208,2.782,12.159,0.47,0.403,0.557,TRUE,FALSE
0.8900000000000001,325,146,59,6,114,0.562,0.908,6.083,2.725,11.919,0.483,0.415,0.57,TRUE,FALSE
0.9000000000000001,325,141,59,6,119,0.542,0.908,5.875,2.631,11.519,0.504,0.435,0.593,TRUE,FALSE
0.91,325,138,59,6,122,0.531,0.908,5.75,2.574,11.28,0.517,0.447,0.606,TRUE,FALSE
0.92,325,135,59,6,125,0.519,0.908,5.625,2.517,11.04,0.53,0.459,0.619,TRUE,FALSE
0.93,325,127,60,5,133,0.488,0.923,6.35,2.608,13.174,0.554,0.486,0.641,TRUE,FALSE
0.9400000000000001,325,118,61,4,142,0.454,0.938,7.375,2.703,16.407,0.582,0.515,0.666,TRUE,FALSE
0.9500000000000001,325,109,62,3,151,0.419,0.954,9.083,2.826,22.148,0.609,0.545,0.69,TRUE,FALSE
