tool,prediction_column,total_eligible_binary_variants,total_variants_evaluated,variants_not_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,mcc,LR_positive,LR_negative
MutPred2,MutPred2_predicted_clean,1026,291,735,197,54,15,25,0.863,0.887,0.783,0.929,0.684,0.835,0.641,4.082,0.144
AlphaMissense,AlphaMissense_predicted_clean,1026,283,743,195,35,18,35,0.813,0.848,0.66,0.915,0.5,0.754,0.46,2.496,0.23
Eigen-PC,Eigen_PC_predicted_clean,1026,522,504,362,61,51,48,0.81,0.883,0.545,0.877,0.56,0.714,0.432,1.939,0.215
SIFT,SIFT_predicted_clean,1026,472,554,332,41,71,28,0.79,0.922,0.366,0.824,0.594,0.644,0.347,1.455,0.212
MutationAssessor,MutationAssessor_predicted_clean,1026,224,802,185,10,14,15,0.871,0.925,0.417,0.93,0.4,0.671,0.336,1.586,0.18
DANN,DANN_predicted_clean,1026,522,504,353,53,59,57,0.778,0.861,0.473,0.857,0.482,0.667,0.336,1.634,0.294
ESM1b,ESM1b_predicted_clean,1026,514,512,343,47,65,59,0.759,0.853,0.42,0.841,0.443,0.636,0.278,1.47,0.35
LIST-S2,LIST_S2_predicted_clean,1026,103,923,44,23,18,18,0.65,0.71,0.561,0.71,0.561,0.635,0.271,1.616,0.518
popEVE,popEVE_predicted_clean,1026,103,923,45,22,19,17,0.65,0.726,0.537,0.703,0.564,0.631,0.265,1.566,0.511
MetaSVM,MetaSVM_predicted_clean,1026,472,554,328,34,78,32,0.767,0.911,0.304,0.808,0.515,0.608,0.263,1.308,0.293
ClinPred,ClinPred_predicted_clean,1026,472,554,323,36,76,37,0.761,0.897,0.321,0.81,0.493,0.609,0.257,1.322,0.32
MetaLR,MetaLR_predicted_clean,1026,472,554,357,11,101,3,0.78,0.992,0.098,0.779,0.786,0.545,0.225,1.1,0.085
EVE,EVE_predicted_clean,1026,75,951,8,17,0,50,0.333,0.138,1,1,0.254,0.569,0.187,NA,0.862
BayesDel noAF,BayesDel_noAF_predicted_clean,1026,522,504,392,16,96,18,0.782,0.956,0.143,0.803,0.471,0.549,0.165,1.115,0.307
BayesDel addAF,BayesDel_addAF_predicted_clean,1026,522,504,397,13,99,13,0.785,0.968,0.116,0.8,0.5,0.542,0.159,1.095,0.273
PROVEAN,PROVEAN_predicted_clean,1026,472,554,300,34,78,60,0.708,0.833,0.304,0.794,0.362,0.569,0.146,1.197,0.549
MetaRNN,MetaRNN_predicted_clean,1026,472,554,353,6,106,7,0.761,0.981,0.054,0.769,0.462,0.517,0.089,1.036,0.363
MutationTaster,MutationTaster_predicted_clean,1026,447,579,359,1,84,3,0.805,0.992,0.012,0.81,0.25,0.502,0.014,1.004,0.704
DEOGEN2,DEOGEN2_predicted_clean,1026,335,691,15,60,5,255,0.224,0.056,0.923,0.75,0.19,0.49,-0.036,0.722,1.023
PrimateAI,PrimateAI_predicted_clean,1026,457,569,4,106,6,341,0.241,0.012,0.946,0.4,0.237,0.479,-0.123,0.216,1.044
PolyPhen-2,PolyPhen_predicted_clean,1026,18,1008,15,0,0,3,0.833,0.833,NA,1,0,0.833,NA,NA,NA
CADD,CADD_predicted_clean,1026,742,284,518,90,101,33,0.819,0.94,0.471,0.837,0.732,0.706,NA,1.778,0.127
