tool,total_eligible_binary_variants,total_variants_evaluated,coverage_percent,coverage_category,accuracy,sensitivity,specificity,balanced_accuracy,mcc,mcc_category,LR_positive_display,LR_positive_interpretation,LR_negative_display,LR_negative_interpretation,overall_interpretation
MutPred2,1026,291,28.4,Low-to-moderate coverage,0.863,0.887,0.783,0.835,0.641,Relatively better performance,4.088,Weak pathogenic-like support,0.144,Moderate benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
CADD,1026,742,72.3,Moderate coverage,0.819,0.94,0.471,0.706,0.484,Relatively better performance,1.777,Limited or no pathogenic-like support,0.127,Moderate benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
AlphaMissense,1026,283,27.6,Low-to-moderate coverage,0.813,0.848,0.66,0.754,0.46,Relatively better performance,2.494,Weak pathogenic-like support,0.23,Weak benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
Eigen-PC,1026,522,50.9,Moderate coverage,0.81,0.883,0.545,0.714,0.432,Relatively better performance,1.941,Limited or no pathogenic-like support,0.215,Weak benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
popEVE,1026,67,6.5,Low coverage,0.657,0.564,0.786,0.675,0.35,Relatively better performance,2.636,Weak pathogenic-like support,0.555,Limited or no benign-like support,Interpret cautiously because coverage was low.
SIFT,1026,472,46,Low-to-moderate coverage,0.79,0.922,0.366,0.644,0.347,Relatively better performance,1.454,Limited or no pathogenic-like support,0.213,Weak benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
MutationAssessor,1026,224,21.8,Low coverage,0.871,0.925,0.417,0.671,0.336,Relatively better performance,1.587,Limited or no pathogenic-like support,0.18,Moderate benign-like support,Interpret cautiously because coverage was low.
DANN,1026,522,50.9,Moderate coverage,0.778,0.861,0.473,0.667,0.336,Relatively better performance,1.634,Limited or no pathogenic-like support,0.294,Weak benign-like support,"Among the better-performing tools in this dataset, but still requires cautious interpretation."
PolyPhen-2,1026,481,46.9,Low-to-moderate coverage,0.694,0.72,0.615,0.667,0.299,Modest performance,1.87,Limited or no pathogenic-like support,0.455,Weak benign-like support,Showed modest performance in this dataset.
ESM1b,1026,514,50.1,Moderate coverage,0.759,0.853,0.42,0.636,0.278,Modest performance,1.471,Limited or no pathogenic-like support,0.35,Weak benign-like support,Showed modest performance in this dataset.
LIST-S2,1026,103,10,Low coverage,0.65,0.71,0.561,0.635,0.271,Modest performance,1.617,Limited or no pathogenic-like support,0.517,Limited or no benign-like support,Interpret cautiously because coverage was low.
MetaSVM,1026,472,46,Low-to-moderate coverage,0.767,0.911,0.304,0.608,0.263,Modest performance,1.309,Limited or no pathogenic-like support,0.293,Weak benign-like support,Showed modest performance in this dataset.
ClinPred,1026,472,46,Low-to-moderate coverage,0.761,0.897,0.321,0.609,0.257,Modest performance,1.321,Limited or no pathogenic-like support,0.321,Weak benign-like support,Showed modest performance in this dataset.
MetaLR,1026,472,46,Low-to-moderate coverage,0.78,0.992,0.098,0.545,0.225,Modest performance,1.1,Limited or no pathogenic-like support,0.082,Strong benign-like support,Showed modest performance in this dataset.
EVE,1026,75,7.3,Low coverage,0.333,0.138,1,0.569,0.187,Low performance,Inf,Infinite LR+ due to zero false positives; interpret cautiously,0.862,Limited or no benign-like support,Interpret cautiously because coverage was low.
BayesDel noAF,1026,522,50.9,Moderate coverage,0.782,0.956,0.143,0.549,0.165,Low performance,1.116,Limited or no pathogenic-like support,0.308,Weak benign-like support,Showed limited performance in this dataset.
BayesDel addAF,1026,522,50.9,Moderate coverage,0.785,0.968,0.116,0.542,0.159,Low performance,1.095,Limited or no pathogenic-like support,0.276,Weak benign-like support,Showed limited performance in this dataset.
PROVEAN,1026,472,46,Low-to-moderate coverage,0.708,0.833,0.304,0.569,0.146,Low performance,1.197,Limited or no pathogenic-like support,0.549,Limited or no benign-like support,Showed limited performance in this dataset.
MetaRNN,1026,472,46,Low-to-moderate coverage,0.761,0.981,0.054,0.517,0.089,Low performance,1.037,Limited or no pathogenic-like support,0.352,Weak benign-like support,Showed limited performance in this dataset.
MutationTaster,1026,447,43.6,Low-to-moderate coverage,0.805,0.992,0.012,0.502,0.014,Low performance,1.004,Limited or no pathogenic-like support,0.667,Limited or no benign-like support,Showed limited performance in this dataset.
DEOGEN2,1026,335,32.7,Low-to-moderate coverage,0.224,0.056,0.923,0.49,-0.036,Poor performance,0.727,Evidence against pathogenic-like prediction,1.023,Evidence against benign-like prediction,Performed poorly in this dataset.
PrimateAI,1026,457,44.5,Low-to-moderate coverage,0.241,0.012,0.946,0.479,-0.123,Poor performance,0.222,Evidence against pathogenic-like prediction,1.044,Evidence against benign-like prediction,Performed poorly in this dataset.
