tool_column_original,tool_column_updated,total_variants,same_value,different_value,missing_in_both,present_originally_missing_updated,missing_originally_present_updated,percent_same,percent_different,percent_newly_available,percent_lost_in_updated
CADD_PHRED,CADD_PHRED_new,1627,32,1286,159,149,1,2,79,0.1,9.2
MutationTaster_score,MutationTaster_score_new,1627,0,1042,571,14,0,0,64,0,0.9
phastCons17way_primate,phastCons17way_primate_new,1627,0,1042,571,14,0,0,64,0,0.9
phyloP100way_vertebrate,phyloP100way_vertebrate_new,1627,0,1042,571,14,0,0,64,0,0.9
DANN_score,DANN_score_new,1627,9,1033,571,14,0,0.6,63.5,0,0.9
ClinPred_score,ClinPred_score_new,1627,446,546,621,14,0,27.4,33.6,0,0.9
MetaLR_score,MetaLR_score_new,1627,462,530,621,14,0,28.4,32.6,0,0.9
REVEL_score,REVEL_score_new,1627,506,486,621,14,0,31.1,29.9,0,0.9
MetaSVM_score,MetaSVM_score_new,1627,545,447,621,14,0,33.5,27.5,0,0.9
BayesDel_addAF_score,BayesDel_addAF_score_new,1627,606,436,571,14,0,37.2,26.8,0,0.9
ada_score,ada_score_new,1627,34,59,1534,0,0,2.1,3.6,0,0
MaxEntScan_diff,MaxEntScan_diff_new,1627,51,43,1533,0,0,3.1,2.6,0,0
rf_score,rf_score_new,1627,56,37,1534,0,0,3.4,2.3,0,0
