tool,whole_dataset_evaluated,whole_dataset_mcc,whole_dataset_balanced_accuracy,whole_dataset_sensitivity,whole_dataset_specificity,missense_evaluated,missense_mcc,missense_balanced_accuracy,missense_sensitivity,missense_specificity,mcc_change_missense_minus_whole,balanced_accuracy_change_missense_minus_whole
MutPred2,291,0.641,0.835,0.887,0.783,277,0.635,0.832,0.88,0.783,-0.006,-0.003
AlphaMissense,283,0.46,0.754,0.848,0.66,283,0.46,0.754,0.848,0.66,0,0
Eigen-PC,522,0.432,0.714,0.883,0.545,457,0.422,0.708,0.87,0.545,-0.01,-0.006
popEVE,67,0.35,0.675,0.564,0.786,66,0.365,0.682,0.579,0.786,0.015,0.007
DANN,522,0.336,0.667,0.861,0.473,457,0.364,0.672,0.872,0.473,0.028,0.005
SIFT,472,0.347,0.644,0.922,0.366,457,0.342,0.643,0.919,0.366,-0.005,-0.001
MutationAssessor,224,0.336,0.671,0.925,0.417,224,0.336,0.671,0.925,0.417,0,0
ESM1b,514,0.278,0.636,0.853,0.42,457,0.297,0.64,0.861,0.42,0.019,0.004
PolyPhen-2,481,0.299,0.667,0.72,0.615,466,0.296,0.664,0.713,0.615,-0.003,-0.003
CADD,742,0.484,0.706,0.94,0.471,467,0.293,0.586,0.974,0.197,-0.191,-0.12
LIST-S2,103,0.271,0.635,0.71,0.561,101,0.261,0.631,0.7,0.561,-0.01,-0.004
MetaSVM,472,0.263,0.608,0.911,0.304,457,0.258,0.606,0.907,0.304,-0.005,-0.002
ClinPred,472,0.257,0.609,0.897,0.321,457,0.251,0.607,0.893,0.321,-0.006,-0.002
MetaLR,472,0.225,0.545,0.992,0.098,457,0.223,0.544,0.991,0.098,-0.002,-0.001
BayesDel noAF,522,0.165,0.549,0.956,0.143,457,0.211,0.557,0.971,0.143,0.046,0.008
BayesDel addAF,522,0.159,0.542,0.968,0.116,457,0.201,0.548,0.98,0.116,0.042,0.006
EVE,75,0.187,0.569,0.138,1,75,0.187,0.569,0.138,1,0,0
PROVEAN,472,0.146,0.569,0.833,0.304,457,0.172,0.578,0.852,0.304,0.026,0.009
MetaRNN,472,0.089,0.517,0.981,0.054,457,0.086,0.517,0.98,0.054,-0.003,0
MutationTaster,447,0.014,0.502,0.992,0.012,388,0.008,0.501,0.99,0.012,-0.006,-0.001
DEOGEN2,335,-0.036,0.49,0.056,0.923,325,-0.047,0.487,0.05,0.923,-0.011,-0.003
PrimateAI,457,-0.123,0.479,0.012,0.946,457,-0.123,0.479,0.012,0.946,0,0
