tool,whole_dataset_evaluated,whole_dataset_mcc,missense_evaluated,missense_mcc,mcc_change_missense_minus_whole,whole_dataset_balanced_accuracy,missense_balanced_accuracy,balanced_accuracy_change_missense_minus_whole
MutPred2,291,0.641,277,0.635,-0.006,0.835,0.832,-0.003
AlphaMissense,283,0.46,283,0.46,0,0.754,0.754,0
Eigen-PC,522,0.432,457,0.422,-0.01,0.714,0.708,-0.006
popEVE,67,0.35,66,0.365,0.015,0.675,0.682,0.007
DANN,522,0.336,457,0.364,0.028,0.667,0.672,0.005
SIFT,472,0.347,457,0.342,-0.005,0.644,0.643,-0.001
MutationAssessor,224,0.336,224,0.336,0,0.671,0.671,0
ESM1b,514,0.278,457,0.297,0.019,0.636,0.64,0.004
PolyPhen-2,481,0.299,466,0.296,-0.003,0.667,0.664,-0.003
CADD,742,0.484,467,0.293,-0.191,0.706,0.586,-0.12
LIST-S2,103,0.271,101,0.261,-0.01,0.635,0.631,-0.004
MetaSVM,472,0.263,457,0.258,-0.005,0.608,0.606,-0.002
ClinPred,472,0.257,457,0.251,-0.006,0.609,0.607,-0.002
MetaLR,472,0.225,457,0.223,-0.002,0.545,0.544,-0.001
BayesDel noAF,522,0.165,457,0.211,0.046,0.549,0.557,0.008
BayesDel addAF,522,0.159,457,0.201,0.042,0.542,0.548,0.006
EVE,75,0.187,75,0.187,0,0.569,0.569,0
PROVEAN,472,0.146,457,0.172,0.026,0.569,0.578,0.009
MetaRNN,472,0.089,457,0.086,-0.003,0.517,0.517,0
MutationTaster,447,0.014,388,0.008,-0.006,0.502,0.501,-0.001
DEOGEN2,335,-0.036,325,-0.047,-0.011,0.49,0.487,-0.003
PrimateAI,457,-0.123,457,-0.123,0,0.479,0.479,0
