tool,n_evaluated,n_pathogenic,n_benign,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,accuracy,balanced_accuracy,positive_predictive_value,negative_predictive_value,mcc
MutPred2,291,222,69,197,54,15,25,0.8873873873873874,0.782608695652174,0.8625429553264605,0.8349980415197806,0.9292452830188679,0.6835443037974683,0.6407547291236925
CADD,742,551,191,518,90,101,33,0.9401088929219601,0.4712041884816754,0.8194070080862533,0.7056565407018177,0.8368336025848142,0.7317073170731707,0.48357865706478664
AlphaMissense,283,230,53,195,35,18,35,0.8478260869565217,0.660377358490566,0.8127208480565371,0.7541017227235438,0.9154929577464789,0.5,0.45951599829142165
Eigen-PC,522,410,112,362,61,51,48,0.8829268292682927,0.5446428571428571,0.8103448275862069,0.7137848432055749,0.8765133171912833,0.5596330275229358,0.4318367235875475
popEVE,67,39,28,22,22,6,17,0.5641025641025641,0.7857142857142857,0.6567164179104478,0.674908424908425,0.7857142857142857,0.5641025641025641,0.3498168498168498
SIFT,472,360,112,332,41,71,28,0.9222222222222223,0.36607142857142855,0.7902542372881356,0.6441468253968254,0.8238213399503722,0.5942028985507246,0.3471508805083418
DANN,522,410,112,353,53,59,57,0.8609756097560975,0.4732142857142857,0.7777777777777778,0.6670949477351916,0.8567961165048543,0.4818181818181818,0.33639482302995183
MutationAssessor,224,200,24,185,10,14,15,0.925,0.4166666666666667,0.8705357142857143,0.6708333333333334,0.9296482412060302,0.4,0.3356036587187238
PolyPhen-2,481,364,117,262,72,45,102,0.7197802197802198,0.6153846153846154,0.6943866943866944,0.6675824175824177,0.8534201954397395,0.41379310344827586,0.29926660568070984
ESM1b,514,402,112,343,47,65,59,0.8532338308457711,0.41964285714285715,0.7587548638132295,0.6364383439943141,0.8406862745098039,0.44339622641509435,0.2784232245483711
LIST-S2,103,62,41,44,23,18,18,0.7096774193548387,0.5609756097560976,0.6504854368932039,0.6353265145554682,0.7096774193548387,0.5609756097560976,0.27065302911093625
MetaSVM,472,360,112,328,34,78,32,0.9111111111111111,0.30357142857142855,0.7669491525423728,0.6073412698412698,0.8078817733990148,0.5151515151515151,0.26334313506911555
ClinPred,472,360,112,323,36,76,37,0.8972222222222223,0.32142857142857145,0.760593220338983,0.6093253968253969,0.8095238095238095,0.4931506849315068,0.25725477338721564
MetaLR,472,360,112,357,11,101,3,0.9916666666666667,0.09821428571428571,0.7796610169491526,0.5449404761904763,0.7794759825327511,0.7857142857142857,0.22538819753148037
EVE,75,58,17,8,17,0,50,0.13793103448275862,1,0.3333333333333333,0.5689655172413793,1,0.2537313432835821,0.18707599167131103
BayesDel noAF,522,410,112,392,16,96,18,0.9560975609756097,0.14285714285714285,0.7816091954022989,0.5494773519163763,0.8032786885245902,0.47058823529411764,0.16462205300647678
BayesDel addAF,522,410,112,397,13,99,13,0.9682926829268292,0.11607142857142858,0.7854406130268199,0.5421820557491289,0.8004032258064516,0.5,0.15919563824543628
PROVEAN,472,360,112,300,34,78,60,0.8333333333333334,0.30357142857142855,0.7076271186440678,0.5684523809523809,0.7936507936507936,0.3617021276595745,0.1458374255916675
MetaRNN,472,360,112,353,6,106,7,0.9805555555555555,0.05357142857142857,0.760593220338983,0.517063492063492,0.7690631808278867,0.46153846153846156,0.08871154709897036
MutationTaster,447,362,85,359,1,84,3,0.9917127071823204,0.011764705882352941,0.8053691275167785,0.5017387065323367,0.8103837471783296,0.25,0.014490660141341311
DEOGEN2,335,270,65,15,60,5,255,0.05555555555555555,0.9230769230769231,0.22388059701492538,0.48931623931623935,0.75,0.19047619047619047,-0.035663374375909405
PrimateAI,457,345,112,4,106,6,341,0.011594202898550725,0.9464285714285714,0.24070021881838075,0.47901138716356106,0.4,0.2371364653243848,-0.1234180071283621
