tool,prediction_column,total_eligible_binary_variants,total_variants_evaluated,variants_not_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,mcc,LR_positive,LR_negative,percent_missense_binary_variants_evaluated
MutPred2,MutPred2_predicted_clean,468,277,191,183,54,15,25,0.856,0.88,0.783,0.924,0.684,0.832,0.635,4.047,0.154,59.2
AlphaMissense,AlphaMissense_predicted_clean,468,283,185,195,35,18,35,0.813,0.848,0.66,0.915,0.5,0.754,0.46,2.496,0.23,60.5
Eigen-PC,Eigen_PC_predicted_clean,468,457,11,300,61,51,45,0.79,0.87,0.545,0.855,0.575,0.708,0.422,1.91,0.239,97.6
popEVE,popEVE_predicted_clean,468,66,402,22,22,6,16,0.667,0.579,0.786,0.786,0.579,0.682,0.365,2.702,0.536,14.1
DANN,DANN_predicted_clean,468,457,11,301,53,59,44,0.775,0.872,0.473,0.836,0.546,0.672,0.364,1.656,0.27,97.6
SIFT,SIFT_predicted_clean,468,457,11,317,41,71,28,0.783,0.919,0.366,0.817,0.594,0.643,0.342,1.449,0.222,97.6
MutationAssessor,MutationAssessor_predicted_clean,468,224,244,185,10,14,15,0.871,0.925,0.417,0.93,0.4,0.671,0.336,1.586,0.18,47.9
ESM1b,ESM1b_predicted_clean,468,457,11,297,47,65,48,0.753,0.861,0.42,0.82,0.495,0.64,0.297,1.483,0.332,97.6
PolyPhen-2,PolyPhen_predicted_clean,468,466,2,249,72,45,100,0.689,0.713,0.615,0.847,0.419,0.664,0.296,1.855,0.466,99.6
CADD,CADD_predicted_clean,468,467,1,341,23,94,9,0.779,0.974,0.197,0.784,0.719,0.586,0.293,1.213,0.131,99.8
LIST-S2,LIST_S2_predicted_clean,468,101,367,42,23,18,18,0.644,0.7,0.561,0.7,0.561,0.631,0.261,1.594,0.535,21.6
MetaSVM,MetaSVM_predicted_clean,468,457,11,313,34,78,32,0.759,0.907,0.304,0.801,0.515,0.606,0.258,1.303,0.306,97.6
ClinPred,ClinPred_predicted_clean,468,457,11,308,36,76,37,0.753,0.893,0.321,0.802,0.493,0.607,0.251,1.316,0.334,97.6
MetaLR,MetaLR_predicted_clean,468,457,11,342,11,101,3,0.772,0.991,0.098,0.772,0.786,0.544,0.223,1.099,0.089,97.6
BayesDel noAF,BayesDel_noAF_predicted_clean,468,457,11,335,16,96,10,0.768,0.971,0.143,0.777,0.615,0.557,0.211,1.133,0.203,97.6
BayesDel addAF,BayesDel_addAF_predicted_clean,468,457,11,338,13,99,7,0.768,0.98,0.116,0.773,0.65,0.548,0.201,1.108,0.175,97.6
EVE,EVE_predicted_clean,468,75,393,8,17,0,50,0.333,0.138,1,1,0.254,0.569,0.187,NA,0.862,16
PROVEAN,PROVEAN_predicted_clean,468,457,11,294,34,78,51,0.718,0.852,0.304,0.79,0.4,0.578,0.172,1.224,0.487,97.6
MetaRNN,MetaRNN_predicted_clean,468,457,11,338,6,106,7,0.753,0.98,0.054,0.761,0.462,0.517,0.086,1.035,0.379,97.6
MutationTaster,MutationTaster_predicted_clean,468,388,80,300,1,84,3,0.776,0.99,0.012,0.781,0.25,0.501,0.008,1.002,0.842,82.9
DEOGEN2,DEOGEN2_predicted_clean,468,325,143,13,60,5,247,0.225,0.05,0.923,0.722,0.195,0.487,-0.047,0.65,1.029,69.4
PrimateAI,PrimateAI_predicted_clean,468,457,11,4,106,6,341,0.241,0.012,0.946,0.4,0.237,0.479,-0.123,0.216,1.044,97.6
