tool_category,tool,total_variants,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,analysis_group,reason
Individual missense predictor,MutationTaster,1627,1056,571,64.9,Binary performance analysis,Has categorical prediction labels
Meta/ensemble predictor,FATHMM-MKL,1627,1056,571,64.9,Binary performance analysis,Has deleterious/neutral threshold
Meta/ensemble predictor,BayesDel addAF,1627,1056,571,64.9,Binary performance analysis,Has published threshold
Meta/ensemble predictor,BayesDel noAF,1627,1042,585,64,Binary performance analysis,Has published threshold
Modern/deep learning predictor,FATHMM-XF,1627,1034,593,63.6,Binary performance analysis,Has prediction label
Individual missense predictor,SIFT,1627,1007,620,61.9,Binary performance analysis,Has established tolerated/deleterious threshold
Individual missense predictor,PolyPhen-2,1627,1007,620,61.9,Binary performance analysis,Has benign/possibly damaging/probably damaging interpretation
Meta/ensemble predictor,Condel,1627,1007,620,61.9,Binary performance analysis,Can use prediction label if available
Individual missense predictor,PROVEAN,1627,1006,621,61.8,Binary performance analysis,Has established deleterious/neutral threshold
Individual missense predictor,FATHMM,1627,1006,621,61.8,Binary performance analysis,Has established damaging/tolerated threshold
Meta/ensemble predictor,REVEL,1627,1006,621,61.8,Binary performance analysis,Commonly used threshold available
Meta/ensemble predictor,ClinPred,1627,1006,621,61.8,Binary performance analysis,Has pathogenic/benign threshold
Meta/ensemble predictor,MetaSVM,1627,1006,621,61.8,Binary performance analysis,Has tolerated/damaging threshold
Meta/ensemble predictor,MetaLR,1627,1006,621,61.8,Binary performance analysis,Has tolerated/damaging threshold
Modern/deep learning predictor,MutPred / MutPred2,1627,1006,621,61.8,Binary performance analysis,Has score/prediction label; mainly missense-focused
Modern/deep learning predictor,MetaRNN,1627,992,635,61,Binary performance analysis,Has prediction label
Modern/deep learning predictor,popEVE,1627,979,648,60.2,Binary performance analysis,Can use prediction labels if available
Modern/deep learning predictor,PrimateAI,1627,977,650,60,Binary performance analysis,Has prediction label or threshold
Individual missense predictor,MutationAssessor,1627,813,814,50,Binary performance analysis,Has functional impact categories or score thresholds
Meta/ensemble predictor,LIST-S2,1627,781,846,48,Binary performance analysis,Has tolerated/deleterious threshold
Modern/deep learning predictor,DEOGEN2,1627,767,860,47.1,Binary performance analysis,Has prediction label or threshold
Modern/deep learning predictor,AlphaMissense,1627,757,870,46.5,Binary performance analysis,"Has likely benign, ambiguous and likely pathogenic classes"
Modern/deep learning predictor,EVE,1627,577,1050,35.5,Binary performance analysis,Can use EVE class labels
Individual missense predictor,LRT,1627,439,1188,27,Binary performance analysis,Has deleterious/neutral prediction interpretation
Conservation score,GERP++,1627,1056,571,64.9,Conservation/supporting analysis,Evolutionary conservation score
Conservation score,phyloP,1627,1056,571,64.9,Conservation/supporting analysis,Evolutionary conservation score
Conservation score,phastCons,1627,1056,571,64.9,Conservation/supporting analysis,Evolutionary conservation score
Conservation score,SiPhy,1627,1056,571,64.9,Conservation/supporting analysis,Evolutionary conservation score
Conservation score,fitCons,1627,1056,571,64.9,Conservation/supporting analysis,Functional constraint score
Conservation score,Eigen-PC,1627,0,1627,0,Conservation/supporting analysis,Functional/conservation-based supporting score
Continuous deleteriousness / constraint score,CADD,1627,1468,159,90.2,Continuous score analysis,Prioritisation/deleteriousness score; no universal diagnostic cutoff
Continuous deleteriousness / constraint score,DANN,1627,1056,571,64.9,Continuous score analysis,Continuous deleteriousness score without universal clinical cutoff
Individual missense predictor,VEST4,1627,1056,571,64.9,Continuous score analysis,No universal benign/pathogenic cutoff used here
Modern/deep learning predictor,ESM1b,1627,1034,593,63.6,Continuous score analysis,Threshold/direction depends on annotation source; use cautiously
Continuous deleteriousness / constraint score,MVP,1627,992,635,61,Continuous score analysis,Continuous score; no universal binary threshold used here
Continuous deleteriousness / constraint score,MutFormer,1627,992,635,61,Continuous score analysis,Continuous score; no universal threshold used here
Continuous deleteriousness / constraint score,MisFit-D,1627,977,650,60,Continuous score analysis,Fitness/constraint-style score
Continuous deleteriousness / constraint score,MisFit-S,1627,977,650,60,Continuous score analysis,Fitness/constraint-style score
Continuous deleteriousness / constraint score,PHACTboost,1627,972,655,59.7,Continuous score analysis,Continuous score; no universal threshold used here
Continuous deleteriousness / constraint score,MPC,1627,801,826,49.2,Continuous score analysis,"Missense constraint score, not direct binary classifier"
Continuous deleteriousness / constraint score,VARITY-R,1627,767,860,47.1,Continuous score analysis,Continuous score; no universal threshold used here
Continuous deleteriousness / constraint score,VARITY-ER,1627,767,860,47.1,Continuous score analysis,Continuous score; no universal threshold used here
Continuous deleteriousness / constraint score,VARITY-R-LOO,1627,767,860,47.1,Continuous score analysis,Continuous score; no universal threshold used here
Continuous deleteriousness / constraint score,VARITY-ER-LOO,1627,767,860,47.1,Continuous score analysis,Continuous score; no universal threshold used here
