tool_category,variant_group,number_of_tools,mean_coverage_percent,median_coverage_percent,highest_coverage_percent,lowest_coverage_percent
Splicing predictor,Frameshift,4,20.1,0,80.4,0
Continuous deleteriousness / constraint score,Frameshift,13,4.3,0,55.6,0
Conservation score,Frameshift,6,0,0,0,0
Gene-level intolerance / LoF metric,Frameshift,5,0,0,0,0
Individual missense predictor,Frameshift,8,0,0,0,0
Meta/ensemble predictor,Frameshift,9,0,0,0,0
Modern/deep learning predictor,Frameshift,9,0,0,0,0
Substitution matrix / descriptive feature,Frameshift,1,0,0,0,0
Substitution matrix / descriptive feature,Missense,1,99.9,99.9,99.9,99.9
Meta/ensemble predictor,Missense,9,97.3,99.8,99.9,77.3
Modern/deep learning predictor,Missense,9,90.3,99.8,99.8,58.9
Individual missense predictor,Missense,8,90.2,99.8,99.9,41
Continuous deleteriousness / constraint score,Missense,13,86.8,98,99.8,40.4
Conservation score,Missense,6,83.2,99.8,99.8,0
Gene-level intolerance / LoF metric,Missense,5,79.8,99.8,99.8,0
Splicing predictor,Missense,4,27.3,3.2,99.8,3
Splicing predictor,Non-coding/regulatory,4,10.7,0,42.7,0
Individual missense predictor,Non-coding/regulatory,8,9.5,9.8,9.8,7.7
Meta/ensemble predictor,Non-coding/regulatory,9,8.7,9.8,9.8,0
Conservation score,Non-coding/regulatory,6,8.2,9.8,9.8,0
Continuous deleteriousness / constraint score,Non-coding/regulatory,13,8,0,94.4,0
Modern/deep learning predictor,Non-coding/regulatory,9,1.1,0,9.8,0
Gene-level intolerance / LoF metric,Non-coding/regulatory,5,0,0,0,0
Substitution matrix / descriptive feature,Non-coding/regulatory,1,0,0,0,0
Splicing predictor,Other coding,4,7.5,0,29.9,0
Continuous deleteriousness / constraint score,Other coding,13,3,0,38.8,0
Individual missense predictor,Other coding,8,0.4,0,3,0
Conservation score,Other coding,6,0,0,0,0
Gene-level intolerance / LoF metric,Other coding,5,0,0,0,0
Meta/ensemble predictor,Other coding,9,0,0,0,0
Modern/deep learning predictor,Other coding,9,0,0,0,0
Substitution matrix / descriptive feature,Other coding,1,0,0,0,0
Splicing predictor,Splice-related,4,84.5,82.4,91.5,81.7
Continuous deleteriousness / constraint score,Splice-related,13,7.5,0,97.2,0
Conservation score,Splice-related,6,0,0,0,0
Gene-level intolerance / LoF metric,Splice-related,5,0,0,0,0
Individual missense predictor,Splice-related,8,0,0,0,0
Meta/ensemble predictor,Splice-related,9,0,0,0,0
Modern/deep learning predictor,Splice-related,9,0,0,0,0
Substitution matrix / descriptive feature,Splice-related,1,0,0,0,0
Gene-level intolerance / LoF metric,Stop/start altered,5,90.1,97,97,62.7
Conservation score,Stop/start altered,6,80.8,97,97,0
Meta/ensemble predictor,Stop/start altered,9,46.4,22.4,97,14.9
Individual missense predictor,Stop/start altered,8,39.9,22.4,97,0
Modern/deep learning predictor,Stop/start altered,9,25.9,14.9,85.1,0
Splicing predictor,Stop/start altered,4,25.4,1.5,97,1.5
Continuous deleteriousness / constraint score,Stop/start altered,13,25.2,14.9,97,0
Substitution matrix / descriptive feature,Stop/start altered,1,22.4,22.4,22.4,22.4
Splicing predictor,Synonymous,4,25,0,100,0
Continuous deleteriousness / constraint score,Synonymous,13,7.7,0,100,0
Individual missense predictor,Synonymous,8,0.9,0,7.4,0
Conservation score,Synonymous,6,0,0,0,0
Gene-level intolerance / LoF metric,Synonymous,5,0,0,0,0
Meta/ensemble predictor,Synonymous,9,0,0,0,0
Modern/deep learning predictor,Synonymous,9,0,0,0,0
Substitution matrix / descriptive feature,Synonymous,1,0,0,0,0
Splicing predictor,UTR,4,26.7,8.5,89.8,0
Continuous deleteriousness / constraint score,UTR,13,6.5,0,84.7,0
Conservation score,UTR,6,0,0,0,0
Gene-level intolerance / LoF metric,UTR,5,0,0,0,0
Individual missense predictor,UTR,8,0,0,0,0
Meta/ensemble predictor,UTR,9,0,0,0,0
Modern/deep learning predictor,UTR,9,0,0,0,0
Substitution matrix / descriptive feature,UTR,1,0,0,0,0
