tool_category,tool,variant_group,total_variants_in_group,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output,columns_present
Splicing predictor,SpliceAI,Frameshift,214,172,42,80.4,SpliceAI_pred_DS_AG_new; SpliceAI_pred_DS_AL_new; SpliceAI_pred_DS_DG_new; SpliceAI_pred_DS_DL_new; SpliceAI_pred_SYMBOL_new
Continuous deleteriousness / constraint score,CADD,Frameshift,214,119,95,55.6,CADD_PHRED; CADD_PHRED_new; CADD_RAW_new
Individual missense predictor,SIFT,Frameshift,214,0,214,0,SIFT_score; SIFT_new
Individual missense predictor,PolyPhen-2,Frameshift,214,0,214,0,PolyPhen_score; PolyPhen_new
Individual missense predictor,MutationTaster,Frameshift,214,0,214,0,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new
Individual missense predictor,LRT,Frameshift,214,0,214,0,LRT_score
Individual missense predictor,MutationAssessor,Frameshift,214,0,214,0,MutationAssessor_standalone_score; MutationAssessor_score_new; MutationAssessor_pred_new
Individual missense predictor,PROVEAN,Frameshift,214,0,214,0,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new
Individual missense predictor,FATHMM,Frameshift,214,0,214,0,FATHMM_score_seperated
Meta/ensemble predictor,FATHMM-MKL,Frameshift,214,0,214,0,fathmm-MKL_coding_score
Modern/deep learning predictor,FATHMM-XF,Frameshift,214,0,214,0,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new
Meta/ensemble predictor,REVEL,Frameshift,214,0,214,0,REVEL_score; REVEL_score_new; REVEL_new
Meta/ensemble predictor,ClinPred,Frameshift,214,0,214,0,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new
Meta/ensemble predictor,MetaSVM,Frameshift,214,0,214,0,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new
Meta/ensemble predictor,MetaLR,Frameshift,214,0,214,0,MetaLR_score; MetaLR_score_new; MetaLR_pred_new
Meta/ensemble predictor,BayesDel addAF,Frameshift,214,0,214,0,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new
Meta/ensemble predictor,BayesDel noAF,Frameshift,214,0,214,0,BayesDel_noAF_score_new; BayesDel_noAF_pred_new
Meta/ensemble predictor,LIST-S2,Frameshift,214,0,214,0,LIST-S2_score_seperated; LIST_S2_score_new; LIST_S2_pred_new
Continuous deleteriousness / constraint score,DANN,Frameshift,214,0,214,0,DANN_score; DANN_score_new
Modern/deep learning predictor,DEOGEN2,Frameshift,214,0,214,0,DEOGEN2_score_new; DEOGEN2_pred_new
Modern/deep learning predictor,ESM1b,Frameshift,214,0,214,0,ESM1b_score_new; ESM1b_pred_new
Modern/deep learning predictor,MetaRNN,Frameshift,214,0,214,0,MetaRNN_score_new; MetaRNN_pred_new
Modern/deep learning predictor,MutPred / MutPred2,Frameshift,214,0,214,0,MutPred_score; MutPred2_score_new; MutPred2_pred_new
Modern/deep learning predictor,PrimateAI,Frameshift,214,0,214,0,PrimateAI_score_new; PrimateAI_pred_new
Modern/deep learning predictor,AlphaMissense,Frameshift,214,0,214,0,am_class_new; am_pathogenicity_new
Modern/deep learning predictor,EVE,Frameshift,214,0,214,0,EVE_CLASS_new; EVE_SCORE_new
Modern/deep learning predictor,popEVE,Frameshift,214,0,214,0,popEVE_pred_new; popEVE_score_new; popEVE_SCORE_1_new; popEVE_EVE_new; popEVE_ESM1v_new
Continuous deleteriousness / constraint score,MPC,Frameshift,214,0,214,0,MPC_score_new
Continuous deleteriousness / constraint score,MVP,Frameshift,214,0,214,0,MVP_score_new
Continuous deleteriousness / constraint score,MutFormer,Frameshift,214,0,214,0,MutFormer_score_new
Continuous deleteriousness / constraint score,PHACTboost,Frameshift,214,0,214,0,PHACTboost_score_new
Continuous deleteriousness / constraint score,VARITY-R,Frameshift,214,0,214,0,VARITY_R_score_new
Continuous deleteriousness / constraint score,VARITY-ER,Frameshift,214,0,214,0,VARITY_ER_score_new
Continuous deleteriousness / constraint score,VARITY-R-LOO,Frameshift,214,0,214,0,VARITY_R_LOO_score_new
Continuous deleteriousness / constraint score,VARITY-ER-LOO,Frameshift,214,0,214,0,VARITY_ER_LOO_score_new
Continuous deleteriousness / constraint score,gMVP,Frameshift,214,0,214,0,gMVP_score_new
Continuous deleteriousness / constraint score,MisFit-D,Frameshift,214,0,214,0,MisFit_D_score_new; MisFit_D_pred_lenient_new; MisFit_D_pred_stringent_new
Continuous deleteriousness / constraint score,MisFit-S,Frameshift,214,0,214,0,MisFit_S_score_new
Individual missense predictor,VEST4,Frameshift,214,0,214,0,VEST4_score_seperated
Splicing predictor,ada_score,Frameshift,214,0,214,0,ada_score; ada_score_new
Splicing predictor,rf_score,Frameshift,214,0,214,0,rf_score; rf_score_new
Splicing predictor,MaxEntScan,Frameshift,214,0,214,0,MaxEntScan_diff; MaxEntScan_alt_new; MaxEntScan_diff_new; MaxEntScan_ref_new
Conservation score,GERP++,Frameshift,214,0,214,0,GERP++_RS
Conservation score,phyloP,Frameshift,214,0,214,0,phyloP100way_vertebrate; phyloP30way_mammalian; phyloP17way_primate_new
Conservation score,phastCons,Frameshift,214,0,214,0,phastCons30way_mammalian; phastCons17way_primate; phastCons17way_primate_new
Conservation score,SiPhy,Frameshift,214,0,214,0,SiPhy_29way_logOdds
Conservation score,fitCons,Frameshift,214,0,214,0,integrated_fitCons_score
Conservation score,Eigen-PC,Frameshift,214,0,214,0,None
Substitution matrix / descriptive feature,BLOSUM62,Frameshift,214,0,214,0,BLOSUM62_new
Gene-level intolerance / LoF metric,Aloft,Frameshift,214,0,214,0,Aloft_pred_new; Aloft_Confidence_new
Gene-level intolerance / LoF metric,LoFtool,Frameshift,214,0,214,0,LoFtool_score_new
Gene-level intolerance / LoF metric,HIPred,Frameshift,214,0,214,0,HIPred_score_new
Gene-level intolerance / LoF metric,GDI,Frameshift,214,0,214,0,GDI_new
Gene-level intolerance / LoF metric,GHIS,Frameshift,214,0,214,0,GHIS_new
Meta/ensemble predictor,Condel,Frameshift,214,0,214,0,Condel_score
Individual missense predictor,SIFT,Missense,979,978,1,99.9,SIFT_score; SIFT_new
Individual missense predictor,PolyPhen-2,Missense,979,978,1,99.9,PolyPhen_score; PolyPhen_new
Substitution matrix / descriptive feature,BLOSUM62,Missense,979,978,1,99.9,BLOSUM62_new
Meta/ensemble predictor,Condel,Missense,979,978,1,99.9,Condel_score
Individual missense predictor,MutationTaster,Missense,979,977,2,99.8,MutationTaster_score; MutationTaster_score_new; MutationTaster_pred_new; MutationTaster_model_new
Individual missense predictor,PROVEAN,Missense,979,977,2,99.8,PROVEAN_score_seperated; PROVEAN_score_new; PROVEAN_pred_new
Individual missense predictor,FATHMM,Missense,979,977,2,99.8,FATHMM_score_seperated
Meta/ensemble predictor,FATHMM-MKL,Missense,979,977,2,99.8,fathmm-MKL_coding_score
Modern/deep learning predictor,FATHMM-XF,Missense,979,977,2,99.8,fathmm_XF_coding_score_new; fathmm_XF_coding_pred_new
Meta/ensemble predictor,REVEL,Missense,979,977,2,99.8,REVEL_score; REVEL_score_new; REVEL_new
Meta/ensemble predictor,ClinPred,Missense,979,977,2,99.8,ClinPred_score; ClinPred_score_new; ClinPred_pred_new; ClinPred_new
Meta/ensemble predictor,MetaSVM,Missense,979,977,2,99.8,MetaSVM_score; MetaSVM_score_new; MetaSVM_pred_new
Meta/ensemble predictor,MetaLR,Missense,979,977,2,99.8,MetaLR_score; MetaLR_score_new; MetaLR_pred_new
Meta/ensemble predictor,BayesDel addAF,Missense,979,977,2,99.8,BayesDel_addAF_score; BayesDel_addAF_score_new; BayesDel_addAF_pred_new
