tool,total_variants,variants_with_tool_output,variants_without_tool_output,percent_with_tool_output
CADD,1627,1468,159,90.2
SpliceAI,1627,1440,187,88.5
MutationTaster,1627,1056,571,64.9
FATHMM-MKL,1627,1056,571,64.9
BayesDel addAF,1627,1056,571,64.9
DANN,1627,1056,571,64.9
VEST4,1627,1056,571,64.9
GERP++,1627,1056,571,64.9
phyloP,1627,1056,571,64.9
phastCons,1627,1056,571,64.9
SiPhy,1627,1056,571,64.9
fitCons,1627,1056,571,64.9
BayesDel noAF,1627,1042,585,64
LoFtool,1627,1042,585,64
HIPred,1627,1042,585,64
GDI,1627,1042,585,64
GHIS,1627,1042,585,64
FATHMM-XF,1627,1034,593,63.6
ESM1b,1627,1034,593,63.6
SIFT,1627,1007,620,61.9
PolyPhen-2,1627,1007,620,61.9
Condel,1627,1007,620,61.9
PROVEAN,1627,1006,621,61.8
FATHMM,1627,1006,621,61.8
REVEL,1627,1006,621,61.8
ClinPred,1627,1006,621,61.8
MetaSVM,1627,1006,621,61.8
MetaLR,1627,1006,621,61.8
MutPred / MutPred2,1627,1006,621,61.8
BLOSUM62,1627,993,634,61
MetaRNN,1627,992,635,61
MVP,1627,992,635,61
MutFormer,1627,992,635,61
popEVE,1627,979,648,60.2
PrimateAI,1627,977,650,60
MisFit-D,1627,977,650,60
MisFit-S,1627,977,650,60
PHACTboost,1627,972,655,59.7
MutationAssessor,1627,813,814,50
MPC,1627,801,826,49.2
LIST-S2,1627,781,846,48
DEOGEN2,1627,767,860,47.1
VARITY-R,1627,767,860,47.1
VARITY-ER,1627,767,860,47.1
VARITY-R-LOO,1627,767,860,47.1
VARITY-ER-LOO,1627,767,860,47.1
AlphaMissense,1627,757,870,46.5
EVE,1627,577,1050,35.5
LRT,1627,439,1188,27
gMVP,1627,403,1224,24.8
MaxEntScan,1627,94,1533,5.8
ada_score,1627,93,1534,5.7
rf_score,1627,93,1534,5.7
Aloft,1627,42,1585,2.6
Eigen-PC,1627,0,1627,0
