tool,prediction_column,total_eligible_binary_variants,total_variants_evaluated,variants_not_evaluated,true_positive,true_negative,false_positive,false_negative,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,mcc,LR_positive,LR_negative,LR_positive_display,LR_negative_display,LR_positive_interpretation,LR_negative_interpretation
SIFT,SIFT_predicted_clean,1026,472,554,332,40,72,28,0.788,0.922,0.357,0.822,0.588,0.64,0.338,1.4339035769828927,0.21848739495798308,1.434,0.218,Limited or no pathogenic-like support,Weak benign-like support
MutationAssessor,MutationAssessor_predicted_clean,1026,224,802,185,10,14,15,0.871,0.925,0.417,0.93,0.4,0.671,0.336,1.586620926243568,0.17985611510791358,1.587,0.18,Limited or no pathogenic-like support,Moderate benign-like support
REVEL,REVEL_predicted_clean,1026,472,554,352,23,89,8,0.794,0.978,0.205,0.798,0.742,0.592,0.315,1.230188679245283,0.1073170731707318,1.23,0.107,Limited or no pathogenic-like support,Moderate benign-like support
ESM1b,ESM1b_predicted_clean,1026,514,512,343,47,65,59,0.759,0.853,0.42,0.841,0.443,0.636,0.278,1.4706896551724136,0.35000000000000003,1.471,0.35,Limited or no pathogenic-like support,Weak benign-like support
LIST-S2,LIST_S2_predicted_clean,1026,103,923,44,23,18,18,0.65,0.71,0.561,0.71,0.561,0.635,0.271,1.6173120728929387,0.5169340463458111,1.617,0.517,Limited or no pathogenic-like support,Limited or no benign-like support
popEVE,popEVE_predicted_clean,1026,103,923,45,22,19,17,0.65,0.726,0.537,0.703,0.564,0.631,0.265,1.5680345572354213,0.5102420856610801,1.568,0.51,Limited or no pathogenic-like support,Limited or no benign-like support
MetaSVM,MetaSVM_predicted_clean,1026,472,554,328,34,78,32,0.767,0.911,0.304,0.808,0.515,0.607,0.263,1.3089080459770117,0.2927631578947367,1.309,0.293,Limited or no pathogenic-like support,Weak benign-like support
ClinPred,ClinPred_predicted_clean,1026,472,554,323,36,76,37,0.761,0.897,0.321,0.81,0.493,0.609,0.257,1.321060382916053,0.3208722741433021,1.321,0.321,Limited or no pathogenic-like support,Weak benign-like support
MetaLR,MetaLR_predicted_clean,1026,472,554,357,11,101,3,0.78,0.992,0.098,0.779,0.786,0.545,0.225,1.099778270509978,0.08163265306122455,1.1,0.082,Limited or no pathogenic-like support,Strong benign-like support
MutPred2,MutPred2_predicted_clean,1026,291,735,215,10,59,7,0.773,0.968,0.145,0.785,0.588,0.557,0.206,1.1321637426900584,0.220689655172414,1.132,0.221,Limited or no pathogenic-like support,Weak benign-like support
EVE,EVE_predicted_clean,1026,75,951,8,17,0,50,0.333,0.138,1,1,0.254,0.569,0.187,Inf,0.862,Inf,0.862,Infinite LR+ due to zero false positives; interpret cautiously,Limited or no benign-like support
FATHMM-XF,FATHMM_XF_predicted_clean,1026,514,512,323,42,70,79,0.71,0.803,0.375,0.822,0.347,0.589,0.174,1.2848000000000002,0.5253333333333332,1.285,0.525,Limited or no pathogenic-like support,Limited or no benign-like support
BayesDel noAF,BayesDel_noAF_predicted_clean,1026,522,504,392,16,96,18,0.782,0.956,0.143,0.803,0.471,0.549,0.165,1.115519253208868,0.307692307692308,1.116,0.308,Limited or no pathogenic-like support,Weak benign-like support
BayesDel addAF,BayesDel_addAF_predicted_clean,1026,522,504,397,13,99,13,0.785,0.968,0.116,0.8,0.5,0.542,0.159,1.095022624434389,0.27586206896551746,1.095,0.276,Limited or no pathogenic-like support,Weak benign-like support
PROVEAN,PROVEAN_predicted_clean,1026,472,554,300,34,78,60,0.708,0.833,0.304,0.794,0.362,0.568,0.146,1.1968390804597702,0.5493421052631581,1.197,0.549,Limited or no pathogenic-like support,Limited or no benign-like support
MetaRNN,MetaRNN_predicted_clean,1026,472,554,353,6,106,7,0.761,0.981,0.054,0.769,0.462,0.517,0.089,1.0369978858350952,0.3518518518518522,1.037,0.352,Limited or no pathogenic-like support,Weak benign-like support
MutationTaster,MutationTaster_predicted_clean,1026,447,579,359,1,84,3,0.805,0.992,0.012,0.81,0.25,0.502,0.014,1.0040485829959513,0.6666666666666673,1.004,0.667,Limited or no pathogenic-like support,Limited or no benign-like support
DEOGEN2,DEOGEN2_predicted_clean,1026,335,691,15,60,5,255,0.224,0.056,0.923,0.75,0.19,0.489,-0.036,0.7272727272727277,1.0227518959913324,0.727,1.023,Evidence against pathogenic-like prediction,Evidence against benign-like prediction
PrimateAI,PrimateAI_predicted_clean,1026,457,569,4,106,6,341,0.241,0.012,0.946,0.4,0.237,0.479,-0.123,0.22222222222222204,1.0443974630021142,0.222,1.044,Evidence against pathogenic-like prediction,Evidence against benign-like prediction
PolyPhen-2,PolyPhen_predicted_clean,1026,18,1008,15,0,0,3,0.833,0.833,NA,1,0,NA,NA,NA,NA,NA,NA,Not interpretable,Not interpretable
FATHMM,FATHMM_predicted_clean,1026,481,545,364,0,117,0,0.757,1,0,0.757,NA,0.5,NA,1,NA,1,NA,Limited or no pathogenic-like support,Not interpretable
FATHMM-MKL,FATHMM_MKL_predicted_clean,1026,531,495,345,60,57,69,0.763,0.833,0.513,0.858,0.465,0.673,NA,1.7104722792607803,0.32553606237816773,1.71,0.326,Limited or no pathogenic-like support,Weak benign-like support
CADD,CADD_predicted_clean,1026,742,284,518,90,101,33,0.819,0.94,0.471,0.837,0.732,0.706,NA,1.7769376181474479,0.12738853503184724,1.777,0.127,Limited or no pathogenic-like support,Moderate benign-like support
